"Year","GEO","Character","Sex","Age","VALUE"
2000,"Newfoundland and Labrador","Labour force","Both sexes","25 to 54 years",183.2
2000,"Newfoundland and Labrador","Labour force","Both sexes","55 years and over",18.5
2000,"Newfoundland and Labrador","Labour force","Males","15 years and over",127.9
2000,"Newfoundland and Labrador","Labour force","Males","15 to 24 years",19
2000,"Newfoundland and Labrador","Labour force","Males","25 to 54 years",97.3
2000,"Newfoundland and Labrador","Labour force","Males","55 years and over",11.6
2000,"Newfoundland and Labrador","Labour force","Females","15 years and over",110.4
2000,"Newfoundland and Labrador","Labour force","Females","15 to 24 years",17.5
2000,"Newfoundland and Labrador","Labour force","Females","25 to 54 years",85.9
2000,"Newfoundland and Labrador","Labour force","Females","55 years and over",6.9
2000,"Newfoundland and Labrador","Employment","Both sexes","15 years and over",198.8
2000,"Newfoundland and Labrador","Employment","Both sexes","15 to 24 years",27.3
2000,"Newfoundland and Labrador","Employment","Both sexes","25 to 54 years",155.7
2000,"Newfoundland and Labrador","Employment","Both sexes","55 years and over",15.8
2000,"Newfoundland and Labrador","Employment","Males","15 years and over",105.5
2000,"Newfoundland and Labrador","Employment","Males","15 to 24 years",13.5
2000,"Newfoundland and Labrador","Employment","Males","25 to 54 years",82.3
2000,"Newfoundland and Labrador","Employment","Males","55 years and over",9.7
2000,"Newfoundland and Labrador","Employment","Females","15 years and over",93.3
2000,"Newfoundland and Labrador","Employment","Females","15 to 24 years",13.8
2000,"Newfoundland and Labrador","Employment","Females","25 to 54 years",73.3
2000,"Newfoundland and Labrador","Employment","Females","55 years and over",6.2
2000,"Newfoundland and Labrador","Full-time employment","Both sexes","15 years and over",169.1
2000,"Newfoundland and Labrador","Full-time employment","Both sexes","15 to 24 years",16.7
2000,"Newfoundland and Labrador","Full-time employment","Both sexes","25 to 54 years",139.1
2000,"Newfoundland and Labrador","Full-time employment","Both sexes","55 years and over",13.2
2000,"Newfoundland and Labrador","Full-time employment","Males","15 years and over",97
2000,"Newfoundland and Labrador","Full-time employment","Males","15 to 24 years",9
2000,"Newfoundland and Labrador","Full-time employment","Males","25 to 54 years",79.1
2000,"Newfoundland and Labrador","Full-time employment","Males","55 years and over",9
2000,"Newfoundland and Labrador","Full-time employment","Females","15 years and over",72.1
2000,"Newfoundland and Labrador","Full-time employment","Females","15 to 24 years",7.8
2000,"Newfoundland and Labrador","Full-time employment","Females","25 to 54 years",60
2000,"Newfoundland and Labrador","Full-time employment","Females","55 years and over",4.3
2000,"Newfoundland and Labrador","Part-time employment","Both sexes","15 years and over",29.7
2000,"Newfoundland and Labrador","Part-time employment","Both sexes","15 to 24 years",10.6
2000,"Newfoundland and Labrador","Part-time employment","Both sexes","25 to 54 years",16.5
2000,"Newfoundland and Labrador","Part-time employment","Both sexes","55 years and over",2.6
2000,"Newfoundland and Labrador","Part-time employment","Males","15 years and over",8.4
2000,"Newfoundland and Labrador","Part-time employment","Males","15 to 24 years",4.5
2000,"Newfoundland and Labrador","Part-time employment","Males","25 to 54 years",3.2
2000,"Newfoundland and Labrador","Part-time employment","Males","55 years and over",0.7
2000,"Newfoundland and Labrador","Part-time employment","Females","15 years and over",21.3
2000,"Newfoundland and Labrador","Part-time employment","Females","15 to 24 years",6
2000,"Newfoundland and Labrador","Part-time employment","Females","25 to 54 years",13.3
2000,"Newfoundland and Labrador","Part-time employment","Females","55 years and over",1.9
2000,"Newfoundland and Labrador","Unemployment","Both sexes","15 years and over",39.5
2000,"Newfoundland and Labrador","Unemployment","Both sexes","15 to 24 years",9.3
2000,"Newfoundland and Labrador","Unemployment","Both sexes","25 to 54 years",27.5
2000,"Newfoundland and Labrador","Unemployment","Both sexes","55 years and over",2.6
2000,"Newfoundland and Labrador","Unemployment","Males","15 years and over",22.4
2000,"Newfoundland and Labrador","Unemployment","Males","15 to 24 years",5.6
2000,"Newfoundland and Labrador","Unemployment","Males","25 to 54 years",15
2000,"Newfoundland and Labrador","Unemployment","Males","55 years and over",1.9
2000,"Newfoundland and Labrador","Unemployment","Females","15 years and over",17
2000,"Newfoundland and Labrador","Unemployment","Females","15 to 24 years",3.8
2000,"Newfoundland and Labrador","Unemployment","Females","25 to 54 years",12.6
2000,"Newfoundland and Labrador","Unemployment","Females","55 years and over",0.7
2000,"Newfoundland and Labrador","Unemployment rate","Both sexes","15 years and over",16.6
2000,"Newfoundland and Labrador","Unemployment rate","Both sexes","15 to 24 years",25.4
2000,"Newfoundland and Labrador","Unemployment rate","Both sexes","25 to 54 years",15
2000,"Newfoundland and Labrador","Unemployment rate","Both sexes","55 years and over",14.1
2000,"Newfoundland and Labrador","Unemployment rate","Males","15 years and over",17.5
2000,"Newfoundland and Labrador","Unemployment rate","Males","15 to 24 years",29.5
2000,"Newfoundland and Labrador","Unemployment rate","Males","25 to 54 years",15.4
2000,"Newfoundland and Labrador","Unemployment rate","Males","55 years and over",16.4
2000,"Newfoundland and Labrador","Unemployment rate","Females","15 years and over",15.4
2000,"Newfoundland and Labrador","Unemployment rate","Females","15 to 24 years",21.7
2000,"Newfoundland and Labrador","Unemployment rate","Females","25 to 54 years",14.7
2000,"Newfoundland and Labrador","Unemployment rate","Females","55 years and over",10.1
2000,"Prince Edward Island","Labour force","Both sexes","15 years and over",71.4
2000,"Prince Edward Island","Labour force","Both sexes","15 to 24 years",13
2000,"Prince Edward Island","Labour force","Both sexes","25 to 54 years",51
2000,"Prince Edward Island","Labour force","Both sexes","55 years and over",7.4
2000,"Prince Edward Island","Labour force","Males","15 years and over",37.2
2000,"Prince Edward Island","Labour force","Males","15 to 24 years",6.7
2000,"Prince Edward Island","Labour force","Males","25 to 54 years",26
2000,"Prince Edward Island","Labour force","Males","55 years and over",4.5
2000,"Prince Edward Island","Labour force","Females","15 years and over",34.2
2000,"Prince Edward Island","Labour force","Females","15 to 24 years",6.3
2000,"Prince Edward Island","Labour force","Females","25 to 54 years",25
2000,"Prince Edward Island","Labour force","Females","55 years and over",2.9
2000,"Prince Edward Island","Employment","Both sexes","15 years and over",62.8
2000,"Prince Edward Island","Employment","Both sexes","15 to 24 years",11.1
2000,"Prince Edward Island","Employment","Both sexes","25 to 54 years",45.1
2000,"Prince Edward Island","Employment","Both sexes","55 years and over",6.6
2000,"Prince Edward Island","Employment","Males","15 years and over",32.4
2000,"Prince Edward Island","Employment","Males","15 to 24 years",5.6
2000,"Prince Edward Island","Employment","Males","25 to 54 years",22.8
2000,"Prince Edward Island","Employment","Males","55 years and over",4
2000,"Prince Edward Island","Employment","Females","15 years and over",30.4
2000,"Prince Edward Island","Employment","Females","15 to 24 years",5.5
2000,"Prince Edward Island","Employment","Females","25 to 54 years",22.3
2000,"Prince Edward Island","Employment","Females","55 years and over",2.6
2000,"Prince Edward Island","Full-time employment","Both sexes","15 years and over",52.4
2000,"Prince Edward Island","Full-time employment","Both sexes","15 to 24 years",6.8
2000,"Prince Edward Island","Full-time employment","Both sexes","25 to 54 years",40.2
2000,"Prince Edward Island","Full-time employment","Both sexes","55 years and over",5.5
2000,"Prince Edward Island","Full-time employment","Males","15 years and over",28.9
2000,"Prince Edward Island","Full-time employment","Males","15 to 24 years",3.6
2000,"Prince Edward Island","Full-time employment","Males","25 to 54 years",21.8
2000,"Prince Edward Island","Full-time employment","Males","55 years and over",3.6
2000,"Prince Edward Island","Full-time employment","Females","15 years and over",23.5
2000,"Prince Edward Island","Full-time employment","Females","15 to 24 years",3.2
2000,"Prince Edward Island","Full-time employment","Females","25 to 54 years",18.4
2000,"Prince Edward Island","Full-time employment","Females","55 years and over",1.9
2000,"Prince Edward Island","Part-time employment","Both sexes","15 years and over",10.4
2000,"Prince Edward Island","Part-time employment","Both sexes","15 to 24 years",4.3
2000,"Prince Edward Island","Part-time employment","Both sexes","25 to 54 years",4.9
2000,"Prince Edward Island","Part-time employment","Both sexes","55 years and over",1.1
2000,"Prince Edward Island","Part-time employment","Males","15 years and over",3.4
2000,"Prince Edward Island","Part-time employment","Males","15 to 24 years",2.1
2000,"Prince Edward Island","Part-time employment","Males","25 to 54 years",1
2000,"Prince Edward Island","Part-time employment","Males","55 years and over",0.4
2000,"Prince Edward Island","Part-time employment","Females","15 years and over",6.9
2000,"Prince Edward Island","Part-time employment","Females","15 to 24 years",2.3
2000,"Prince Edward Island","Part-time employment","Females","25 to 54 years",4
2000,"Prince Edward Island","Part-time employment","Females","55 years and over",0.7
2000,"Prince Edward Island","Unemployment","Both sexes","15 years and over",8.6
2000,"Prince Edward Island","Unemployment","Both sexes","15 to 24 years",1.9
2000,"Prince Edward Island","Unemployment","Both sexes","25 to 54 years",5.9
2000,"Prince Edward Island","Unemployment","Both sexes","55 years and over",0.8
2000,"Prince Edward Island","Unemployment","Males","15 years and over",4.9
2000,"Prince Edward Island","Unemployment","Males","15 to 24 years",1.1
2000,"Prince Edward Island","Unemployment","Males","25 to 54 years",3.2
2000,"Prince Edward Island","Unemployment","Males","55 years and over",0.6
2000,"Prince Edward Island","Unemployment","Females","15 years and over",3.8
2000,"Prince Edward Island","Unemployment","Females","15 to 24 years",0.8
2000,"Prince Edward Island","Unemployment","Females","25 to 54 years",2.7
2000,"Prince Edward Island","Unemployment","Females","55 years and over",0.3
2000,"Prince Edward Island","Unemployment rate","Both sexes","15 years and over",12
2000,"Prince Edward Island","Unemployment rate","Both sexes","15 to 24 years",14.6
2000,"Prince Edward Island","Unemployment rate","Both sexes","25 to 54 years",11.6
2000,"Prince Edward Island","Unemployment rate","Both sexes","55 years and over",10.8
2000,"Prince Edward Island","Unemployment rate","Males","15 years and over",13.2
2000,"Prince Edward Island","Unemployment rate","Males","15 to 24 years",16.4
2000,"Prince Edward Island","Unemployment rate","Males","25 to 54 years",12.3
2000,"Prince Edward Island","Unemployment rate","Males","55 years and over",13.3
2000,"Prince Edward Island","Unemployment rate","Females","15 years and over",11.1
2000,"Prince Edward Island","Unemployment rate","Females","15 to 24 years",12.7
2000,"Prince Edward Island","Unemployment rate","Females","25 to 54 years",10.8
2000,"Prince Edward Island","Unemployment rate","Females","55 years and over",10.3
2000,"Nova Scotia","Labour force","Both sexes","15 years and over",452.6
2000,"Nova Scotia","Labour force","Both sexes","15 to 24 years",75.4
2000,"Nova Scotia","Labour force","Both sexes","25 to 54 years",334.6
2000,"Nova Scotia","Labour force","Both sexes","55 years and over",42.5
2000,"Nova Scotia","Labour force","Males","15 years and over",239.6
2000,"Nova Scotia","Labour force","Males","15 to 24 years",38.2
2000,"Nova Scotia","Labour force","Males","25 to 54 years",175.4
2000,"Nova Scotia","Labour force","Males","55 years and over",26
2000,"Nova Scotia","Labour force","Females","15 years and over",213
2000,"Nova Scotia","Labour force","Females","15 to 24 years",37.3
2000,"Nova Scotia","Labour force","Females","25 to 54 years",159.2
2000,"Nova Scotia","Labour force","Females","55 years and over",16.5
2000,"Nova Scotia","Employment","Both sexes","15 years and over",411.7
2000,"Nova Scotia","Employment","Both sexes","15 to 24 years",63.6
2000,"Nova Scotia","Employment","Both sexes","25 to 54 years",308.5
2000,"Nova Scotia","Employment","Both sexes","55 years and over",39.6
2000,"Nova Scotia","Employment","Males","15 years and over",216.3
2000,"Nova Scotia","Employment","Males","15 to 24 years",31.4
2000,"Nova Scotia","Employment","Males","25 to 54 years",160.9
2000,"Nova Scotia","Employment","Males","55 years and over",24
2000,"Nova Scotia","Employment","Females","15 years and over",195.4
2000,"Nova Scotia","Employment","Females","15 to 24 years",32.2
2000,"Nova Scotia","Employment","Females","25 to 54 years",147.6
2000,"Nova Scotia","Employment","Females","55 years and over",15.5
2000,"Nova Scotia","Full-time employment","Both sexes","15 years and over",335.5
2000,"Nova Scotia","Full-time employment","Both sexes","15 to 24 years",35
2000,"Nova Scotia","Full-time employment","Both sexes","25 to 54 years",268.6
2000,"Nova Scotia","Full-time employment","Both sexes","55 years and over",31.9
2000,"Nova Scotia","Full-time employment","Males","15 years and over",193.5
2000,"Nova Scotia","Full-time employment","Males","15 to 24 years",19.1
2000,"Nova Scotia","Full-time employment","Males","25 to 54 years",152.9
2000,"Nova Scotia","Full-time employment","Males","55 years and over",21.5
2000,"Nova Scotia","Full-time employment","Females","15 years and over",142
2000,"Nova Scotia","Full-time employment","Females","15 to 24 years",15.9
2000,"Nova Scotia","Full-time employment","Females","25 to 54 years",115.7
2000,"Nova Scotia","Full-time employment","Females","55 years and over",10.4
2000,"Nova Scotia","Part-time employment","Both sexes","15 years and over",76.1
2000,"Nova Scotia","Part-time employment","Both sexes","15 to 24 years",28.6
2000,"Nova Scotia","Part-time employment","Both sexes","25 to 54 years",39.9
2000,"Nova Scotia","Part-time employment","Both sexes","55 years and over",7.6
2000,"Nova Scotia","Part-time employment","Males","15 years and over",22.8
2000,"Nova Scotia","Part-time employment","Males","15 to 24 years",12.3
2000,"Nova Scotia","Part-time employment","Males","25 to 54 years",7.9
2000,"Nova Scotia","Part-time employment","Males","55 years and over",2.5
2000,"Nova Scotia","Part-time employment","Females","15 years and over",53.3
2000,"Nova Scotia","Part-time employment","Females","15 to 24 years",16.3
2000,"Nova Scotia","Part-time employment","Females","25 to 54 years",31.9
2000,"Nova Scotia","Part-time employment","Females","55 years and over",5.1
2000,"Nova Scotia","Unemployment","Both sexes","15 years and over",41
2000,"Nova Scotia","Unemployment","Both sexes","15 to 24 years",11.9
2000,"Nova Scotia","Unemployment","Both sexes","25 to 54 years",26.1
2000,"Nova Scotia","Unemployment","Both sexes","55 years and over",3
2000,"Nova Scotia","Unemployment","Males","15 years and over",23.3
2000,"Nova Scotia","Unemployment","Males","15 to 24 years",6.8
2000,"Nova Scotia","Unemployment","Males","25 to 54 years",14.5
2000,"Nova Scotia","Unemployment","Males","55 years and over",2
2000,"Nova Scotia","Unemployment","Females","15 years and over",17.6
2000,"Nova Scotia","Unemployment","Females","15 to 24 years",5.1
2000,"Nova Scotia","Unemployment","Females","25 to 54 years",11.6
2000,"Nova Scotia","Unemployment","Females","55 years and over",1
2000,"Nova Scotia","Unemployment rate","Both sexes","15 years and over",9.1
2000,"Nova Scotia","Unemployment rate","Both sexes","15 to 24 years",15.8
2000,"Nova Scotia","Unemployment rate","Both sexes","25 to 54 years",7.8
2000,"Nova Scotia","Unemployment rate","Both sexes","55 years and over",7.1
2000,"Nova Scotia","Unemployment rate","Males","15 years and over",9.7
2000,"Nova Scotia","Unemployment rate","Males","15 to 24 years",17.8
2000,"Nova Scotia","Unemployment rate","Males","25 to 54 years",8.3
2000,"Nova Scotia","Unemployment rate","Males","55 years and over",7.7
2000,"Nova Scotia","Unemployment rate","Females","15 years and over",8.3
2000,"Nova Scotia","Unemployment rate","Females","15 to 24 years",13.7
2000,"Nova Scotia","Unemployment rate","Females","25 to 54 years",7.3
2000,"Nova Scotia","Unemployment rate","Females","55 years and over",6.1
2000,"New Brunswick","Labour force","Both sexes","15 years and over",368.4
2000,"New Brunswick","Labour force","Both sexes","15 to 24 years",61.9
2000,"New Brunswick","Labour force","Both sexes","25 to 54 years",272.6
2000,"New Brunswick","Labour force","Both sexes","55 years and over",33.9
2000,"New Brunswick","Labour force","Males","15 years and over",197.8
2000,"New Brunswick","Labour force","Males","15 to 24 years",31.5
2000,"New Brunswick","Labour force","Males","25 to 54 years",144.8
2000,"New Brunswick","Labour force","Males","55 years and over",21.4
2000,"New Brunswick","Labour force","Females","15 years and over",170.6
2000,"New Brunswick","Labour force","Females","15 to 24 years",30.4
2000,"New Brunswick","Labour force","Females","25 to 54 years",127.8
2000,"New Brunswick","Labour force","Females","55 years and over",12.5
2000,"New Brunswick","Employment","Both sexes","15 years and over",331.6
2000,"New Brunswick","Employment","Both sexes","15 to 24 years",52.1
2000,"New Brunswick","Employment","Both sexes","25 to 54 years",248.6
2000,"New Brunswick","Employment","Both sexes","55 years and over",30.9
2000,"New Brunswick","Employment","Males","15 years and over",176.1
2000,"New Brunswick","Employment","Males","15 to 24 years",25.5
2000,"New Brunswick","Employment","Males","25 to 54 years",131
2000,"New Brunswick","Employment","Males","55 years and over",19.6
2000,"New Brunswick","Employment","Females","15 years and over",155.5
2000,"New Brunswick","Employment","Females","15 to 24 years",26.6
2000,"New Brunswick","Employment","Females","25 to 54 years",117.6
2000,"New Brunswick","Employment","Females","55 years and over",11.3
2000,"New Brunswick","Full-time employment","Both sexes","15 years and over",280.5
2000,"New Brunswick","Full-time employment","Both sexes","15 to 24 years",33.3
2000,"New Brunswick","Full-time employment","Both sexes","25 to 54 years",222.4
2000,"New Brunswick","Full-time employment","Both sexes","55 years and over",24.8
2000,"New Brunswick","Full-time employment","Males","15 years and over",162.4
2000,"New Brunswick","Full-time employment","Males","15 to 24 years",17.7
2000,"New Brunswick","Full-time employment","Males","25 to 54 years",127.3
2000,"New Brunswick","Full-time employment","Males","55 years and over",17.3
2000,"New Brunswick","Full-time employment","Females","15 years and over",118.2
2000,"New Brunswick","Full-time employment","Females","15 to 24 years",15.6
2000,"New Brunswick","Full-time employment","Females","25 to 54 years",95.1
2000,"New Brunswick","Full-time employment","Females","55 years and over",7.5
2000,"New Brunswick","Part-time employment","Both sexes","15 years and over",51.1
2000,"New Brunswick","Part-time employment","Both sexes","15 to 24 years",18.8
2000,"New Brunswick","Part-time employment","Both sexes","25 to 54 years",26.2
2000,"New Brunswick","Part-time employment","Both sexes","55 years and over",6.1
2000,"New Brunswick","Part-time employment","Males","15 years and over",13.7
2000,"New Brunswick","Part-time employment","Males","15 to 24 years",7.8
2000,"New Brunswick","Part-time employment","Males","25 to 54 years",3.7
2000,"New Brunswick","Part-time employment","Males","55 years and over",2.2
2000,"New Brunswick","Part-time employment","Females","15 years and over",37.4
2000,"New Brunswick","Part-time employment","Females","15 to 24 years",11
2000,"New Brunswick","Part-time employment","Females","25 to 54 years",22.5
2000,"New Brunswick","Part-time employment","Females","55 years and over",3.8
2000,"New Brunswick","Unemployment","Both sexes","15 years and over",36.8
2000,"New Brunswick","Unemployment","Both sexes","15 to 24 years",9.7
2000,"New Brunswick","Unemployment","Both sexes","25 to 54 years",24
2000,"New Brunswick","Unemployment","Both sexes","55 years and over",3
2000,"New Brunswick","Unemployment","Males","15 years and over",21.7
2000,"New Brunswick","Unemployment","Males","15 to 24 years",6
2000,"New Brunswick","Unemployment","Males","25 to 54 years",13.9
2000,"New Brunswick","Unemployment","Males","55 years and over",1.9
2000,"New Brunswick","Unemployment","Females","15 years and over",15.1
2000,"New Brunswick","Unemployment","Females","15 to 24 years",3.8
2000,"New Brunswick","Unemployment","Females","25 to 54 years",10.1
2000,"New Brunswick","Unemployment","Females","55 years and over",1.2
2000,"New Brunswick","Unemployment rate","Both sexes","15 years and over",10
2000,"New Brunswick","Unemployment rate","Both sexes","15 to 24 years",15.7
2000,"New Brunswick","Unemployment rate","Both sexes","25 to 54 years",8.8
2000,"New Brunswick","Unemployment rate","Both sexes","55 years and over",8.8
2000,"New Brunswick","Unemployment rate","Males","15 years and over",11
2000,"New Brunswick","Unemployment rate","Males","15 to 24 years",19
2000,"New Brunswick","Unemployment rate","Males","25 to 54 years",9.6
2000,"New Brunswick","Unemployment rate","Males","55 years and over",8.9
2000,"New Brunswick","Unemployment rate","Females","15 years and over",8.9
2000,"New Brunswick","Unemployment rate","Females","15 to 24 years",12.5
2000,"New Brunswick","Unemployment rate","Females","25 to 54 years",7.9
2000,"New Brunswick","Unemployment rate","Females","55 years and over",9.6
2000,"Quebec","Labour force","Both sexes","15 years and over",3716.7
2000,"Quebec","Labour force","Both sexes","15 to 24 years",593.5
2000,"Quebec","Labour force","Both sexes","25 to 54 years",2770.2
2000,"Quebec","Labour force","Both sexes","55 years and over",353
2000,"Quebec","Labour force","Males","15 years and over",2038.1
2000,"Quebec","Labour force","Males","15 to 24 years",320.3
2000,"Quebec","Labour force","Males","25 to 54 years",1495.7
2000,"Quebec","Labour force","Males","55 years and over",222.1
2000,"Quebec","Labour force","Females","15 years and over",1678.6
2000,"Quebec","Labour force","Females","15 to 24 years",273.2
2000,"Quebec","Labour force","Females","25 to 54 years",1274.5
2000,"Quebec","Labour force","Females","55 years and over",130.9
2000,"Quebec","Employment","Both sexes","15 years and over",3401.5
2000,"Quebec","Employment","Both sexes","15 to 24 years",510.7
2000,"Quebec","Employment","Both sexes","25 to 54 years",2563.8
2000,"Quebec","Employment","Both sexes","55 years and over",327
2000,"Quebec","Employment","Males","15 years and over",1861.1
2000,"Quebec","Employment","Males","15 to 24 years",273
2000,"Quebec","Employment","Males","25 to 54 years",1380.7
2000,"Quebec","Employment","Males","55 years and over",207.5
2000,"Quebec","Employment","Females","15 years and over",1540.4
2000,"Quebec","Employment","Females","15 to 24 years",237.7
2000,"Quebec","Employment","Females","25 to 54 years",1183.2
2000,"Quebec","Employment","Females","55 years and over",119.5
2000,"Quebec","Full-time employment","Both sexes","15 years and over",2829.2
2000,"Quebec","Full-time employment","Both sexes","15 to 24 years",300.4
2000,"Quebec","Full-time employment","Both sexes","25 to 54 years",2267.7
2000,"Quebec","Full-time employment","Both sexes","55 years and over",261.1
2000,"Quebec","Full-time employment","Males","15 years and over",1674.2
2000,"Quebec","Full-time employment","Males","15 to 24 years",180.8
2000,"Quebec","Full-time employment","Males","25 to 54 years",1316.1
2000,"Quebec","Full-time employment","Males","55 years and over",177.3
2000,"Quebec","Full-time employment","Females","15 years and over",1155
2000,"Quebec","Full-time employment","Females","15 to 24 years",119.6
2000,"Quebec","Full-time employment","Females","25 to 54 years",951.6
2000,"Quebec","Full-time employment","Females","55 years and over",83.8
2000,"Quebec","Part-time employment","Both sexes","15 years and over",572.3
2000,"Quebec","Part-time employment","Both sexes","15 to 24 years",210.3
2000,"Quebec","Part-time employment","Both sexes","25 to 54 years",296.2
2000,"Quebec","Part-time employment","Both sexes","55 years and over",65.9
2000,"Quebec","Part-time employment","Males","15 years and over",186.9
2000,"Quebec","Part-time employment","Males","15 to 24 years",92.2
2000,"Quebec","Part-time employment","Males","25 to 54 years",64.6
2000,"Quebec","Part-time employment","Males","55 years and over",30.1
2000,"Quebec","Part-time employment","Females","15 years and over",385.5
2000,"Quebec","Part-time employment","Females","15 to 24 years",118.1
2000,"Quebec","Part-time employment","Females","25 to 54 years",231.6
2000,"Quebec","Part-time employment","Females","55 years and over",35.7
2000,"Quebec","Unemployment","Both sexes","15 years and over",315.2
2000,"Quebec","Unemployment","Both sexes","15 to 24 years",82.8
2000,"Quebec","Unemployment","Both sexes","25 to 54 years",206.4
2000,"Quebec","Unemployment","Both sexes","55 years and over",26
2000,"Quebec","Unemployment","Males","15 years and over",177
2000,"Quebec","Unemployment","Males","15 to 24 years",47.3
2000,"Quebec","Unemployment","Males","25 to 54 years",115.1
2000,"Quebec","Unemployment","Males","55 years and over",14.6
2000,"Quebec","Unemployment","Females","15 years and over",138.2
2000,"Quebec","Unemployment","Females","15 to 24 years",35.5
2000,"Quebec","Unemployment","Females","25 to 54 years",91.3
2000,"Quebec","Unemployment","Females","55 years and over",11.4
2000,"Quebec","Unemployment rate","Both sexes","15 years and over",8.5
2000,"Quebec","Unemployment rate","Both sexes","15 to 24 years",14
2000,"Quebec","Unemployment rate","Both sexes","25 to 54 years",7.5
2000,"Quebec","Unemployment rate","Both sexes","55 years and over",7.4
2000,"Quebec","Unemployment rate","Males","15 years and over",8.7
2000,"Quebec","Unemployment rate","Males","15 to 24 years",14.8
2000,"Quebec","Unemployment rate","Males","25 to 54 years",7.7
2000,"Quebec","Unemployment rate","Males","55 years and over",6.6
