"Year","GEO","Income_concept","UOM","VALUE"
1976,"British Columbia","Adjusted market income","Number",0.369
1976,"British Columbia","Adjusted total income","Number",0.325
1976,"British Columbia","Adjusted after-tax income","Number",0.297
1977,"Canada","Adjusted market income","Number",0.368
1977,"Canada","Adjusted total income","Number",0.315
1977,"Canada","Adjusted after-tax income","Number",0.286
1977,"Atlantic provinces","Adjusted market income","Number",0.411
1977,"Atlantic provinces","Adjusted total income","Number",0.313
1977,"Atlantic provinces","Adjusted after-tax income","Number",0.282
1977,"Newfoundland and Labrador","Adjusted market income","Number",0.423
1977,"Newfoundland and Labrador","Adjusted total income","Number",0.308
1977,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.276
1977,"Prince Edward Island","Adjusted market income","Number",0.416
1977,"Prince Edward Island","Adjusted total income","Number",0.318
1977,"Prince Edward Island","Adjusted after-tax income","Number",0.288
1977,"Nova Scotia","Adjusted market income","Number",0.394
1977,"Nova Scotia","Adjusted total income","Number",0.309
1977,"Nova Scotia","Adjusted after-tax income","Number",0.277
1977,"New Brunswick","Adjusted market income","Number",0.418
1977,"New Brunswick","Adjusted total income","Number",0.319
1977,"New Brunswick","Adjusted after-tax income","Number",0.289
1977,"Quebec","Adjusted market income","Number",0.382
1977,"Quebec","Adjusted total income","Number",0.318
1977,"Quebec","Adjusted after-tax income","Number",0.289
1977,"Ontario","Adjusted market income","Number",0.348
1977,"Ontario","Adjusted total income","Number",0.305
1977,"Ontario","Adjusted after-tax income","Number",0.276
1977,"Prairie provinces","Adjusted market income","Number",0.363
1977,"Prairie provinces","Adjusted total income","Number",0.321
1977,"Prairie provinces","Adjusted after-tax income","Number",0.294
1977,"Manitoba","Adjusted market income","Number",0.377
1977,"Manitoba","Adjusted total income","Number",0.326
1977,"Manitoba","Adjusted after-tax income","Number",0.296
1977,"Saskatchewan","Adjusted market income","Number",0.379
1977,"Saskatchewan","Adjusted total income","Number",0.33
1977,"Saskatchewan","Adjusted after-tax income","Number",0.3
1977,"Alberta","Adjusted market income","Number",0.342
1977,"Alberta","Adjusted total income","Number",0.308
1977,"Alberta","Adjusted after-tax income","Number",0.283
1977,"British Columbia","Adjusted market income","Number",0.341
1977,"British Columbia","Adjusted total income","Number",0.295
1977,"British Columbia","Adjusted after-tax income","Number",0.272
1978,"Canada","Adjusted market income","Number",0.375
1978,"Canada","Adjusted total income","Number",0.32
1978,"Canada","Adjusted after-tax income","Number",0.291
1978,"Atlantic provinces","Adjusted market income","Number",0.422
1978,"Atlantic provinces","Adjusted total income","Number",0.322
1978,"Atlantic provinces","Adjusted after-tax income","Number",0.291
1978,"Newfoundland and Labrador","Adjusted market income","Number",0.458
1978,"Newfoundland and Labrador","Adjusted total income","Number",0.326
1978,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.295
1978,"Prince Edward Island","Adjusted market income","Number",0.41
1978,"Prince Edward Island","Adjusted total income","Number",0.317
1978,"Prince Edward Island","Adjusted after-tax income","Number",0.294
1978,"Nova Scotia","Adjusted market income","Number",0.407
1978,"Nova Scotia","Adjusted total income","Number",0.327
1978,"Nova Scotia","Adjusted after-tax income","Number",0.293
1978,"New Brunswick","Adjusted market income","Number",0.408
1978,"New Brunswick","Adjusted total income","Number",0.31
1978,"New Brunswick","Adjusted after-tax income","Number",0.28
1978,"Quebec","Adjusted market income","Number",0.382
1978,"Quebec","Adjusted total income","Number",0.313
1978,"Quebec","Adjusted after-tax income","Number",0.28
1978,"Ontario","Adjusted market income","Number",0.356
1978,"Ontario","Adjusted total income","Number",0.314
1978,"Ontario","Adjusted after-tax income","Number",0.284
1978,"Prairie provinces","Adjusted market income","Number",0.37
1978,"Prairie provinces","Adjusted total income","Number",0.329
1978,"Prairie provinces","Adjusted after-tax income","Number",0.305
1978,"Manitoba","Adjusted market income","Number",0.381
1978,"Manitoba","Adjusted total income","Number",0.33
1978,"Manitoba","Adjusted after-tax income","Number",0.306
1978,"Saskatchewan","Adjusted market income","Number",0.358
1978,"Saskatchewan","Adjusted total income","Number",0.313
1978,"Saskatchewan","Adjusted after-tax income","Number",0.29
1978,"Alberta","Adjusted market income","Number",0.362
1978,"Alberta","Adjusted total income","Number",0.327
1978,"Alberta","Adjusted after-tax income","Number",0.304
1978,"British Columbia","Adjusted market income","Number",0.353
1978,"British Columbia","Adjusted total income","Number",0.308
1978,"British Columbia","Adjusted after-tax income","Number",0.283
1979,"Canada","Adjusted market income","Number",0.365
1979,"Canada","Adjusted total income","Number",0.315
1979,"Canada","Adjusted after-tax income","Number",0.286
1979,"Atlantic provinces","Adjusted market income","Number",0.4
1979,"Atlantic provinces","Adjusted total income","Number",0.309
1979,"Atlantic provinces","Adjusted after-tax income","Number",0.282
1979,"Newfoundland and Labrador","Adjusted market income","Number",0.419
1979,"Newfoundland and Labrador","Adjusted total income","Number",0.313
1979,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.283
1979,"Prince Edward Island","Adjusted market income","Number",0.397
1979,"Prince Edward Island","Adjusted total income","Number",0.307
1979,"Prince Edward Island","Adjusted after-tax income","Number",0.282
1979,"Nova Scotia","Adjusted market income","Number",0.379
1979,"Nova Scotia","Adjusted total income","Number",0.303
1979,"Nova Scotia","Adjusted after-tax income","Number",0.277
1979,"New Brunswick","Adjusted market income","Number",0.408
1979,"New Brunswick","Adjusted total income","Number",0.311
1979,"New Brunswick","Adjusted after-tax income","Number",0.284
1979,"Quebec","Adjusted market income","Number",0.381
1979,"Quebec","Adjusted total income","Number",0.32
1979,"Quebec","Adjusted after-tax income","Number",0.285
1979,"Ontario","Adjusted market income","Number",0.339
1979,"Ontario","Adjusted total income","Number",0.299
1979,"Ontario","Adjusted after-tax income","Number",0.275
1979,"Prairie provinces","Adjusted market income","Number",0.366
1979,"Prairie provinces","Adjusted total income","Number",0.328
1979,"Prairie provinces","Adjusted after-tax income","Number",0.299
1979,"Manitoba","Adjusted market income","Number",0.369
1979,"Manitoba","Adjusted total income","Number",0.321
1979,"Manitoba","Adjusted after-tax income","Number",0.292
1979,"Saskatchewan","Adjusted market income","Number",0.391
1979,"Saskatchewan","Adjusted total income","Number",0.345
1979,"Saskatchewan","Adjusted after-tax income","Number",0.315
1979,"Alberta","Adjusted market income","Number",0.349
1979,"Alberta","Adjusted total income","Number",0.318
1979,"Alberta","Adjusted after-tax income","Number",0.289
1979,"British Columbia","Adjusted market income","Number",0.344
1979,"British Columbia","Adjusted total income","Number",0.3
1979,"British Columbia","Adjusted after-tax income","Number",0.276
1980,"Canada","Adjusted market income","Number",0.37
1980,"Canada","Adjusted total income","Number",0.313
1980,"Canada","Adjusted after-tax income","Number",0.286
1980,"Atlantic provinces","Adjusted market income","Number",0.404
1980,"Atlantic provinces","Adjusted total income","Number",0.303
1980,"Atlantic provinces","Adjusted after-tax income","Number",0.275
1980,"Newfoundland and Labrador","Adjusted market income","Number",0.44
1980,"Newfoundland and Labrador","Adjusted total income","Number",0.325
1980,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.297
1980,"Prince Edward Island","Adjusted market income","Number",0.399
1980,"Prince Edward Island","Adjusted total income","Number",0.295
1980,"Prince Edward Island","Adjusted after-tax income","Number",0.267
1980,"Nova Scotia","Adjusted market income","Number",0.375
1980,"Nova Scotia","Adjusted total income","Number",0.289
1980,"Nova Scotia","Adjusted after-tax income","Number",0.262
1980,"New Brunswick","Adjusted market income","Number",0.406
1980,"New Brunswick","Adjusted total income","Number",0.299
1980,"New Brunswick","Adjusted after-tax income","Number",0.271
1980,"Quebec","Adjusted market income","Number",0.389
1980,"Quebec","Adjusted total income","Number",0.315
1980,"Quebec","Adjusted after-tax income","Number",0.277
1980,"Ontario","Adjusted market income","Number",0.342
1980,"Ontario","Adjusted total income","Number",0.297
1980,"Ontario","Adjusted after-tax income","Number",0.274
1980,"Prairie provinces","Adjusted market income","Number",0.367
1980,"Prairie provinces","Adjusted total income","Number",0.326
1980,"Prairie provinces","Adjusted after-tax income","Number",0.296
1980,"Manitoba","Adjusted market income","Number",0.375
1980,"Manitoba","Adjusted total income","Number",0.323
1980,"Manitoba","Adjusted after-tax income","Number",0.294
1980,"Saskatchewan","Adjusted market income","Number",0.354
1980,"Saskatchewan","Adjusted total income","Number",0.307
1980,"Saskatchewan","Adjusted after-tax income","Number",0.282
1980,"Alberta","Adjusted market income","Number",0.36
1980,"Alberta","Adjusted total income","Number",0.326
1980,"Alberta","Adjusted after-tax income","Number",0.295
1980,"British Columbia","Adjusted market income","Number",0.347
1980,"British Columbia","Adjusted total income","Number",0.306
1980,"British Columbia","Adjusted after-tax income","Number",0.287
1981,"Canada","Adjusted market income","Number",0.369
1981,"Canada","Adjusted total income","Number",0.313
1981,"Canada","Adjusted after-tax income","Number",0.285
1981,"Atlantic provinces","Adjusted market income","Number",0.408
1981,"Atlantic provinces","Adjusted total income","Number",0.31
1981,"Atlantic provinces","Adjusted after-tax income","Number",0.281
1981,"Newfoundland and Labrador","Adjusted market income","Number",0.424
1981,"Newfoundland and Labrador","Adjusted total income","Number",0.316
1981,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.284
1981,"Prince Edward Island","Adjusted market income","Number",0.411
1981,"Prince Edward Island","Adjusted total income","Number",0.303
1981,"Prince Edward Island","Adjusted after-tax income","Number",0.277
1981,"Nova Scotia","Adjusted market income","Number",0.383
1981,"Nova Scotia","Adjusted total income","Number",0.299
1981,"Nova Scotia","Adjusted after-tax income","Number",0.272
1981,"New Brunswick","Adjusted market income","Number",0.424
1981,"New Brunswick","Adjusted total income","Number",0.319
1981,"New Brunswick","Adjusted after-tax income","Number",0.29
1981,"Quebec","Adjusted market income","Number",0.38
1981,"Quebec","Adjusted total income","Number",0.31
1981,"Quebec","Adjusted after-tax income","Number",0.28
1981,"Ontario","Adjusted market income","Number",0.344
1981,"Ontario","Adjusted total income","Number",0.298
1981,"Ontario","Adjusted after-tax income","Number",0.272
1981,"Prairie provinces","Adjusted market income","Number",0.37
1981,"Prairie provinces","Adjusted total income","Number",0.326
1981,"Prairie provinces","Adjusted after-tax income","Number",0.297
1981,"Manitoba","Adjusted market income","Number",0.374
1981,"Manitoba","Adjusted total income","Number",0.317
1981,"Manitoba","Adjusted after-tax income","Number",0.289
1981,"Saskatchewan","Adjusted market income","Number",0.405
1981,"Saskatchewan","Adjusted total income","Number",0.35
1981,"Saskatchewan","Adjusted after-tax income","Number",0.319
1981,"Alberta","Adjusted market income","Number",0.345
1981,"Alberta","Adjusted total income","Number",0.312
1981,"Alberta","Adjusted after-tax income","Number",0.284
1981,"British Columbia","Adjusted market income","Number",0.349
1981,"British Columbia","Adjusted total income","Number",0.304
1981,"British Columbia","Adjusted after-tax income","Number",0.28
1982,"Canada","Adjusted market income","Number",0.388
1982,"Canada","Adjusted total income","Number",0.32
1982,"Canada","Adjusted after-tax income","Number",0.288
1982,"Atlantic provinces","Adjusted market income","Number",0.434
1982,"Atlantic provinces","Adjusted total income","Number",0.318
1982,"Atlantic provinces","Adjusted after-tax income","Number",0.286
1982,"Newfoundland and Labrador","Adjusted market income","Number",0.439
1982,"Newfoundland and Labrador","Adjusted total income","Number",0.318
1982,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.286
1982,"Prince Edward Island","Adjusted market income","Number",0.42
1982,"Prince Edward Island","Adjusted total income","Number",0.3
1982,"Prince Edward Island","Adjusted after-tax income","Number",0.27
1982,"Nova Scotia","Adjusted market income","Number",0.419
1982,"Nova Scotia","Adjusted total income","Number",0.315
1982,"Nova Scotia","Adjusted after-tax income","Number",0.283
1982,"New Brunswick","Adjusted market income","Number",0.447
1982,"New Brunswick","Adjusted total income","Number",0.324
1982,"New Brunswick","Adjusted after-tax income","Number",0.291
1982,"Quebec","Adjusted market income","Number",0.396
1982,"Quebec","Adjusted total income","Number",0.311
1982,"Quebec","Adjusted after-tax income","Number",0.273
1982,"Ontario","Adjusted market income","Number",0.365
1982,"Ontario","Adjusted total income","Number",0.308
1982,"Ontario","Adjusted after-tax income","Number",0.279
1982,"Prairie provinces","Adjusted market income","Number",0.382
1982,"Prairie provinces","Adjusted total income","Number",0.331
1982,"Prairie provinces","Adjusted after-tax income","Number",0.301
1982,"Manitoba","Adjusted market income","Number",0.4
1982,"Manitoba","Adjusted total income","Number",0.332
1982,"Manitoba","Adjusted after-tax income","Number",0.299
1982,"Saskatchewan","Adjusted market income","Number",0.394
1982,"Saskatchewan","Adjusted total income","Number",0.331
1982,"Saskatchewan","Adjusted after-tax income","Number",0.298
1982,"Alberta","Adjusted market income","Number",0.36
1982,"Alberta","Adjusted total income","Number",0.321
1982,"Alberta","Adjusted after-tax income","Number",0.293
1982,"British Columbia","Adjusted market income","Number",0.381
1982,"British Columbia","Adjusted total income","Number",0.321
1982,"British Columbia","Adjusted after-tax income","Number",0.293
1983,"Canada","Adjusted market income","Number",0.403
1983,"Canada","Adjusted total income","Number",0.329
1983,"Canada","Adjusted after-tax income","Number",0.296
1983,"Atlantic provinces","Adjusted market income","Number",0.457
1983,"Atlantic provinces","Adjusted total income","Number",0.33
1983,"Atlantic provinces","Adjusted after-tax income","Number",0.296
1983,"Newfoundland and Labrador","Adjusted market income","Number",0.489
1983,"Newfoundland and Labrador","Adjusted total income","Number",0.34
1983,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.3
1983,"Prince Edward Island","Adjusted market income","Number",0.424
1983,"Prince Edward Island","Adjusted total income","Number",0.309
1983,"Prince Edward Island","Adjusted after-tax income","Number",0.276
1983,"Nova Scotia","Adjusted market income","Number",0.423
1983,"Nova Scotia","Adjusted total income","Number",0.318
1983,"Nova Scotia","Adjusted after-tax income","Number",0.289
1983,"New Brunswick","Adjusted market income","Number",0.472
1983,"New Brunswick","Adjusted total income","Number",0.335
1983,"New Brunswick","Adjusted after-tax income","Number",0.299
1983,"Quebec","Adjusted market income","Number",0.406
1983,"Quebec","Adjusted total income","Number",0.315
1983,"Quebec","Adjusted after-tax income","Number",0.275
1983,"Ontario","Adjusted market income","Number",0.385
1983,"Ontario","Adjusted total income","Number",0.328
1983,"Ontario","Adjusted after-tax income","Number",0.296
1983,"Prairie provinces","Adjusted market income","Number",0.396
1983,"Prairie provinces","Adjusted total income","Number",0.334
1983,"Prairie provinces","Adjusted after-tax income","Number",0.304
1983,"Manitoba","Adjusted market income","Number",0.401
1983,"Manitoba","Adjusted total income","Number",0.324
1983,"Manitoba","Adjusted after-tax income","Number",0.292
1983,"Saskatchewan","Adjusted market income","Number",0.403
1983,"Saskatchewan","Adjusted total income","Number",0.338
1983,"Saskatchewan","Adjusted after-tax income","Number",0.31
1983,"Alberta","Adjusted market income","Number",0.388
1983,"Alberta","Adjusted total income","Number",0.333
1983,"Alberta","Adjusted after-tax income","Number",0.303
1983,"British Columbia","Adjusted market income","Number",0.388
1983,"British Columbia","Adjusted total income","Number",0.323
1983,"British Columbia","Adjusted after-tax income","Number",0.293
1984,"Canada","Adjusted market income","Number",0.401
1984,"Canada","Adjusted total income","Number",0.326
1984,"Canada","Adjusted after-tax income","Number",0.293
1984,"Atlantic provinces","Adjusted market income","Number",0.441
1984,"Atlantic provinces","Adjusted total income","Number",0.322
1984,"Atlantic provinces","Adjusted after-tax income","Number",0.288
1984,"Newfoundland and Labrador","Adjusted market income","Number",0.47
1984,"Newfoundland and Labrador","Adjusted total income","Number",0.324
1984,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.289
1984,"Prince Edward Island","Adjusted market income","Number",0.405
1984,"Prince Edward Island","Adjusted total income","Number",0.287
1984,"Prince Edward Island","Adjusted after-tax income","Number",0.257
1984,"Nova Scotia","Adjusted market income","Number",0.416
1984,"Nova Scotia","Adjusted total income","Number",0.316
1984,"Nova Scotia","Adjusted after-tax income","Number",0.285
1984,"New Brunswick","Adjusted market income","Number",0.447
1984,"New Brunswick","Adjusted total income","Number",0.326
1984,"New Brunswick","Adjusted after-tax income","Number",0.292
1984,"Quebec","Adjusted market income","Number",0.421
1984,"Quebec","Adjusted total income","Number",0.327
1984,"Quebec","Adjusted after-tax income","Number",0.287
1984,"Ontario","Adjusted market income","Number",0.373
1984,"Ontario","Adjusted total income","Number",0.316
1984,"Ontario","Adjusted after-tax income","Number",0.286
1984,"Prairie provinces","Adjusted market income","Number",0.395
1984,"Prairie provinces","Adjusted total income","Number",0.33
1984,"Prairie provinces","Adjusted after-tax income","Number",0.299
1984,"Manitoba","Adjusted market income","Number",0.389
1984,"Manitoba","Adjusted total income","Number",0.317
1984,"Manitoba","Adjusted after-tax income","Number",0.288
1984,"Saskatchewan","Adjusted market income","Number",0.413
1984,"Saskatchewan","Adjusted total income","Number",0.34
1984,"Saskatchewan","Adjusted after-tax income","Number",0.31
1984,"Alberta","Adjusted market income","Number",0.387
1984,"Alberta","Adjusted total income","Number",0.328
1984,"Alberta","Adjusted after-tax income","Number",0.297
1984,"British Columbia","Adjusted market income","Number",0.401
1984,"British Columbia","Adjusted total income","Number",0.329
1984,"British Columbia","Adjusted after-tax income","Number",0.298
1985,"Canada","Adjusted market income","Number",0.395
1985,"Canada","Adjusted total income","Number",0.322
1985,"Canada","Adjusted after-tax income","Number",0.29
1985,"Atlantic provinces","Adjusted market income","Number",0.446
1985,"Atlantic provinces","Adjusted total income","Number",0.326
1985,"Atlantic provinces","Adjusted after-tax income","Number",0.294
1985,"Newfoundland and Labrador","Adjusted market income","Number",0.489
1985,"Newfoundland and Labrador","Adjusted total income","Number",0.339
1985,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.303
1985,"Prince Edward Island","Adjusted market income","Number",0.412
1985,"Prince Edward Island","Adjusted total income","Number",0.285
1985,"Prince Edward Island","Adjusted after-tax income","Number",0.257
1985,"Nova Scotia","Adjusted market income","Number",0.428
1985,"Nova Scotia","Adjusted total income","Number",0.331
1985,"Nova Scotia","Adjusted after-tax income","Number",0.299
1985,"New Brunswick","Adjusted market income","Number",0.429
1985,"New Brunswick","Adjusted total income","Number",0.309
1985,"New Brunswick","Adjusted after-tax income","Number",0.278
1985,"Quebec","Adjusted market income","Number",0.404
1985,"Quebec","Adjusted total income","Number",0.312
1985,"Quebec","Adjusted after-tax income","Number",0.276
1985,"Ontario","Adjusted market income","Number",0.368
1985,"Ontario","Adjusted total income","Number",0.314
1985,"Ontario","Adjusted after-tax income","Number",0.281
1985,"Prairie provinces","Adjusted market income","Number",0.39
1985,"Prairie provinces","Adjusted total income","Number",0.327
1985,"Prairie provinces","Adjusted after-tax income","Number",0.297
1985,"Manitoba","Adjusted market income","Number",0.39
1985,"Manitoba","Adjusted total income","Number",0.318
1985,"Manitoba","Adjusted after-tax income","Number",0.288
1985,"Saskatchewan","Adjusted market income","Number",0.413
1985,"Saskatchewan","Adjusted total income","Number",0.341
1985,"Saskatchewan","Adjusted after-tax income","Number",0.311
1985,"Alberta","Adjusted market income","Number",0.376
1985,"Alberta","Adjusted total income","Number",0.32
1985,"Alberta","Adjusted after-tax income","Number",0.29
1985,"British Columbia","Adjusted market income","Number",0.401
1985,"British Columbia","Adjusted total income","Number",0.331
1985,"British Columbia","Adjusted after-tax income","Number",0.302
1986,"Canada","Adjusted market income","Number",0.395
1986,"Canada","Adjusted total income","Number",0.322
1986,"Canada","Adjusted after-tax income","Number",0.29
1986,"Atlantic provinces","Adjusted market income","Number",0.441
1986,"Atlantic provinces","Adjusted total income","Number",0.315
1986,"Atlantic provinces","Adjusted after-tax income","Number",0.28
1986,"Newfoundland and Labrador","Adjusted market income","Number",0.466
1986,"Newfoundland and Labrador","Adjusted total income","Number",0.308
1986,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.271
1986,"Prince Edward Island","Adjusted market income","Number",0.417
1986,"Prince Edward Island","Adjusted total income","Number",0.29
1986,"Prince Edward Island","Adjusted after-tax income","Number",0.258
1986,"Nova Scotia","Adjusted market income","Number",0.433
1986,"Nova Scotia","Adjusted total income","Number",0.326
1986,"Nova Scotia","Adjusted after-tax income","Number",0.289
1986,"New Brunswick","Adjusted market income","Number",0.422
1986,"New Brunswick","Adjusted total income","Number",0.299
1986,"New Brunswick","Adjusted after-tax income","Number",0.269
1986,"Quebec","Adjusted market income","Number",0.406
1986,"Quebec","Adjusted total income","Number",0.317
1986,"Quebec","Adjusted after-tax income","Number",0.282
1986,"Ontario","Adjusted market income","Number",0.364
1986,"Ontario","Adjusted total income","Number",0.31
1986,"Ontario","Adjusted after-tax income","Number",0.28
1986,"Prairie provinces","Adjusted market income","Number",0.395
1986,"Prairie provinces","Adjusted total income","Number",0.33
1986,"Prairie provinces","Adjusted after-tax income","Number",0.298
1986,"Manitoba","Adjusted market income","Number",0.394
1986,"Manitoba","Adjusted total income","Number",0.321
1986,"Manitoba","Adjusted after-tax income","Number",0.286
1986,"Saskatchewan","Adjusted market income","Number",0.427
1986,"Saskatchewan","Adjusted total income","Number",0.352
1986,"Saskatchewan","Adjusted after-tax income","Number",0.317
1986,"Alberta","Adjusted market income","Number",0.378
1986,"Alberta","Adjusted total income","Number",0.32
1986,"Alberta","Adjusted after-tax income","Number",0.291
1986,"British Columbia","Adjusted market income","Number",0.395
1986,"British Columbia","Adjusted total income","Number",0.325
1986,"British Columbia","Adjusted after-tax income","Number",0.296
1987,"Canada","Adjusted market income","Number",0.392
1987,"Canada","Adjusted total income","Number",0.321
1987,"Canada","Adjusted after-tax income","Number",0.287
1987,"Atlantic provinces","Adjusted market income","Number",0.428
1987,"Atlantic provinces","Adjusted total income","Number",0.31
1987,"Atlantic provinces","Adjusted after-tax income","Number",0.274
1987,"Newfoundland and Labrador","Adjusted market income","Number",0.465
1987,"Newfoundland and Labrador","Adjusted total income","Number",0.317
1987,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.279
1987,"Prince Edward Island","Adjusted market income","Number",0.406
1987,"Prince Edward Island","Adjusted total income","Number",0.294
1987,"Prince Edward Island","Adjusted after-tax income","Number",0.262
1987,"Nova Scotia","Adjusted market income","Number",0.402
1987,"Nova Scotia","Adjusted total income","Number",0.307
1987,"Nova Scotia","Adjusted after-tax income","Number",0.272
1987,"New Brunswick","Adjusted market income","Number",0.423
1987,"New Brunswick","Adjusted total income","Number",0.301
1987,"New Brunswick","Adjusted after-tax income","Number",0.268
1987,"Quebec","Adjusted market income","Number",0.406
1987,"Quebec","Adjusted total income","Number",0.321
1987,"Quebec","Adjusted after-tax income","Number",0.283
1987,"Ontario","Adjusted market income","Number",0.362
1987,"Ontario","Adjusted total income","Number",0.308
1987,"Ontario","Adjusted after-tax income","Number",0.276
1987,"Prairie provinces","Adjusted market income","Number",0.393
1987,"Prairie provinces","Adjusted total income","Number",0.325
1987,"Prairie provinces","Adjusted after-tax income","Number",0.29
1987,"Manitoba","Adjusted market income","Number",0.389
1987,"Manitoba","Adjusted total income","Number",0.312
1987,"Manitoba","Adjusted after-tax income","Number",0.277
1987,"Saskatchewan","Adjusted market income","Number",0.402
1987,"Saskatchewan","Adjusted total income","Number",0.325
1987,"Saskatchewan","Adjusted after-tax income","Number",0.291
1987,"Alberta","Adjusted market income","Number",0.387
1987,"Alberta","Adjusted total income","Number",0.328
1987,"Alberta","Adjusted after-tax income","Number",0.293
1987,"British Columbia","Adjusted market income","Number",0.395
1987,"British Columbia","Adjusted total income","Number",0.324
1987,"British Columbia","Adjusted after-tax income","Number",0.29
1988,"Canada","Adjusted market income","Number",0.391
1988,"Canada","Adjusted total income","Number",0.318
1988,"Canada","Adjusted after-tax income","Number",0.282
1988,"Atlantic provinces","Adjusted market income","Number",0.42
1988,"Atlantic provinces","Adjusted total income","Number",0.303
1988,"Atlantic provinces","Adjusted after-tax income","Number",0.267
1988,"Newfoundland and Labrador","Adjusted market income","Number",0.444
1988,"Newfoundland and Labrador","Adjusted total income","Number",0.304
1988,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.27
1988,"Prince Edward Island","Adjusted market income","Number",0.408
1988,"Prince Edward Island","Adjusted total income","Number",0.285
1988,"Prince Edward Island","Adjusted after-tax income","Number",0.256
1988,"Nova Scotia","Adjusted market income","Number",0.399
1988,"Nova Scotia","Adjusted total income","Number",0.304
1988,"Nova Scotia","Adjusted after-tax income","Number",0.266
1988,"New Brunswick","Adjusted market income","Number",0.421
1988,"New Brunswick","Adjusted total income","Number",0.299
1988,"New Brunswick","Adjusted after-tax income","Number",0.265
1988,"Quebec","Adjusted market income","Number",0.402
1988,"Quebec","Adjusted total income","Number",0.313
1988,"Quebec","Adjusted after-tax income","Number",0.269
1988,"Ontario","Adjusted market income","Number",0.363
1988,"Ontario","Adjusted total income","Number",0.308
1988,"Ontario","Adjusted after-tax income","Number",0.275
1988,"Prairie provinces","Adjusted market income","Number",0.395
1988,"Prairie provinces","Adjusted total income","Number",0.326
1988,"Prairie provinces","Adjusted after-tax income","Number",0.289
1988,"Manitoba","Adjusted market income","Number",0.404
1988,"Manitoba","Adjusted total income","Number",0.322
1988,"Manitoba","Adjusted after-tax income","Number",0.281
1988,"Saskatchewan","Adjusted market income","Number",0.419
1988,"Saskatchewan","Adjusted total income","Number",0.336
1988,"Saskatchewan","Adjusted after-tax income","Number",0.297
1988,"Alberta","Adjusted market income","Number",0.378
1988,"Alberta","Adjusted total income","Number",0.32
1988,"Alberta","Adjusted after-tax income","Number",0.284
1988,"British Columbia","Adjusted market income","Number",0.374
1988,"British Columbia","Adjusted total income","Number",0.308
1988,"British Columbia","Adjusted after-tax income","Number",0.276
1989,"Canada","Adjusted market income","Number",0.388
1989,"Canada","Adjusted total income","Number",0.318
1989,"Canada","Adjusted after-tax income","Number",0.281
1989,"Atlantic provinces","Adjusted market income","Number",0.421
1989,"Atlantic provinces","Adjusted total income","Number",0.306
1989,"Atlantic provinces","Adjusted after-tax income","Number",0.269
1989,"Newfoundland and Labrador","Adjusted market income","Number",0.441
1989,"Newfoundland and Labrador","Adjusted total income","Number",0.301
