"Year","GEO","Sex","Age","Reason","VALUE"
2001,"British Columbia","Females","15 years and over","Could not find full-time work",34.8
2001,"British Columbia","Females","15 years and over","Going to school",55.2
2001,"British Columbia","Females","15 years and over","Own illness",6
2001,"British Columbia","Females","15 years and over","Part-time employment, all reasons",280.9
2001,"British Columbia","Females","15 years and over","Personal preference",72.8
2001,"British Columbia","Males","15 years and over","Business conditions",26.7
2001,"British Columbia","Males","15 years and over","Caring for children",NA
2001,"British Columbia","Males","15 years and over","Could not find full-time work",17.8
2001,"British Columbia","Males","15 years and over","Going to school",43.1
2001,"British Columbia","Males","15 years and over","Own illness",3.1
2001,"British Columbia","Males","15 years and over","Part-time employment, all reasons",123.1
2001,"British Columbia","Males","15 years and over","Personal preference",27.6
2001,"Canada","Females","15 years and over","Business conditions",243.5
2001,"Canada","Females","15 years and over","Caring for children",286.6
2001,"Canada","Females","15 years and over","Could not find full-time work",219.5
2001,"Canada","Females","15 years and over","Going to school",454.6
2001,"Canada","Females","15 years and over","Own illness",49.1
2001,"Canada","Females","15 years and over","Part-time employment, all reasons",1862.8
2001,"Canada","Females","15 years and over","Personal preference",469.6
2001,"Canada","Males","15 years and over","Business conditions",134.5
2001,"Canada","Males","15 years and over","Caring for children",6.1
2001,"Canada","Males","15 years and over","Could not find full-time work",100.4
2001,"Canada","Males","15 years and over","Going to school",370.1
2001,"Canada","Males","15 years and over","Own illness",24.6
2001,"Canada","Males","15 years and over","Part-time employment, all reasons",840.1
2001,"Canada","Males","15 years and over","Personal preference",177.2
2001,"Ontario","Females","15 years and over","Business conditions",102.5
2001,"Ontario","Females","15 years and over","Caring for children",115.1
2001,"Ontario","Females","15 years and over","Could not find full-time work",69.7
2001,"Ontario","Females","15 years and over","Going to school",198.3
2001,"Ontario","Females","15 years and over","Own illness",18.4
2001,"Ontario","Females","15 years and over","Part-time employment, all reasons",724.5
2001,"Ontario","Females","15 years and over","Personal preference",173.2
2001,"Ontario","Males","15 years and over","Business conditions",51.7
2001,"Ontario","Males","15 years and over","Caring for children",2.7
2001,"Ontario","Males","15 years and over","Could not find full-time work",31.5
2001,"Ontario","Males","15 years and over","Going to school",156.2
2001,"Ontario","Males","15 years and over","Own illness",9.9
2001,"Ontario","Males","15 years and over","Part-time employment, all reasons",331.9
2001,"Ontario","Males","15 years and over","Personal preference",70.9
2001,"Quebec","Females","15 years and over","Business conditions",41.1
2001,"Quebec","Females","15 years and over","Caring for children",35.1
2001,"Quebec","Females","15 years and over","Could not find full-time work",67.7
2001,"Quebec","Females","15 years and over","Going to school",97.7
2001,"Quebec","Females","15 years and over","Own illness",11
2001,"Quebec","Females","15 years and over","Part-time employment, all reasons",399.1
2001,"Quebec","Females","15 years and over","Personal preference",109.6
2001,"Quebec","Males","15 years and over","Business conditions",25
2001,"Quebec","Males","15 years and over","Caring for children",NA
2001,"Quebec","Males","15 years and over","Could not find full-time work",32.1
2001,"Quebec","Males","15 years and over","Going to school",84.8
2001,"Quebec","Males","15 years and over","Own illness",4.6
2001,"Quebec","Males","15 years and over","Part-time employment, all reasons",193
2001,"Quebec","Males","15 years and over","Personal preference",37.7
2002,"Alberta","Females","15 years and over","Business conditions",24.7
2002,"Alberta","Females","15 years and over","Caring for children",42.9
2002,"Alberta","Females","15 years and over","Could not find full-time work",15.5
2002,"Alberta","Females","15 years and over","Going to school",49.2
2002,"Alberta","Females","15 years and over","Own illness",6.1
2002,"Alberta","Females","15 years and over","Part-time employment, all reasons",211
2002,"Alberta","Females","15 years and over","Personal preference",53.5
2002,"Alberta","Males","15 years and over","Business conditions",13
2002,"Alberta","Males","15 years and over","Caring for children",NA
2002,"Alberta","Males","15 years and over","Could not find full-time work",7.5
2002,"Alberta","Males","15 years and over","Going to school",39.9
2002,"Alberta","Males","15 years and over","Own illness",3.5
2002,"Alberta","Males","15 years and over","Part-time employment, all reasons",86.2
2002,"Alberta","Males","15 years and over","Personal preference",19.1
2002,"British Columbia","Females","15 years and over","Business conditions",47.7
2002,"British Columbia","Females","15 years and over","Caring for children",49.6
2002,"British Columbia","Females","15 years and over","Could not find full-time work",35
2002,"British Columbia","Females","15 years and over","Going to school",63.8
2002,"British Columbia","Females","15 years and over","Own illness",7.4
2002,"British Columbia","Females","15 years and over","Part-time employment, all reasons",300.6
2002,"British Columbia","Females","15 years and over","Personal preference",76.1
2002,"British Columbia","Males","15 years and over","Business conditions",32.6
2002,"British Columbia","Males","15 years and over","Caring for children",1.8
2002,"British Columbia","Males","15 years and over","Could not find full-time work",22.3
2002,"British Columbia","Males","15 years and over","Going to school",46.2
2002,"British Columbia","Males","15 years and over","Own illness",5.2
2002,"British Columbia","Males","15 years and over","Part-time employment, all reasons",144.5
2002,"British Columbia","Males","15 years and over","Personal preference",31.7
2002,"Canada","Females","15 years and over","Business conditions",285.4
2002,"Canada","Females","15 years and over","Caring for children",287.9
2002,"Canada","Females","15 years and over","Could not find full-time work",217.6
2002,"Canada","Females","15 years and over","Going to school",493.9
2002,"Canada","Females","15 years and over","Own illness",55.4
2002,"Canada","Females","15 years and over","Part-time employment, all reasons",1972.6
2002,"Canada","Females","15 years and over","Personal preference",494.5
2002,"Canada","Males","15 years and over","Business conditions",159.3
2002,"Canada","Males","15 years and over","Caring for children",7.6
2002,"Canada","Males","15 years and over","Could not find full-time work",109
2002,"Canada","Males","15 years and over","Going to school",374.8
2002,"Canada","Males","15 years and over","Own illness",30.3
2002,"Canada","Males","15 years and over","Part-time employment, all reasons",895.9
2002,"Canada","Males","15 years and over","Personal preference",188.6
2002,"Ontario","Females","15 years and over","Business conditions",116
2002,"Ontario","Females","15 years and over","Caring for children",111.6
2002,"Ontario","Females","15 years and over","Could not find full-time work",68.9
2002,"Ontario","Females","15 years and over","Going to school",207.6
2002,"Ontario","Females","15 years and over","Own illness",18.5
2002,"Ontario","Females","15 years and over","Part-time employment, all reasons",755.1
2002,"Ontario","Females","15 years and over","Personal preference",185.6
2002,"Ontario","Males","15 years and over","Business conditions",62.1
2002,"Ontario","Males","15 years and over","Caring for children",3.2
2002,"Ontario","Males","15 years and over","Could not find full-time work",32.8
2002,"Ontario","Males","15 years and over","Going to school",154.4
2002,"Ontario","Males","15 years and over","Own illness",11.4
2002,"Ontario","Males","15 years and over","Part-time employment, all reasons",347.4
2002,"Ontario","Males","15 years and over","Personal preference",74.9
2002,"Quebec","Females","15 years and over","Business conditions",50
2002,"Quebec","Females","15 years and over","Caring for children",44.5
2002,"Quebec","Females","15 years and over","Could not find full-time work",67.5
2002,"Quebec","Females","15 years and over","Going to school",110.8
2002,"Quebec","Females","15 years and over","Own illness",15.3
2002,"Quebec","Females","15 years and over","Part-time employment, all reasons",436.5
2002,"Quebec","Females","15 years and over","Personal preference",115.2
2002,"Quebec","Males","15 years and over","Business conditions",29.1
2002,"Quebec","Males","15 years and over","Caring for children",NA
2002,"Quebec","Males","15 years and over","Could not find full-time work",34.2
2002,"Quebec","Males","15 years and over","Going to school",86.7
2002,"Quebec","Males","15 years and over","Own illness",6.4
2002,"Quebec","Males","15 years and over","Part-time employment, all reasons",202.7
2002,"Quebec","Males","15 years and over","Personal preference",39
2003,"Alberta","Females","15 years and over","Business conditions",25.7
2003,"Alberta","Females","15 years and over","Caring for children",42.3
2003,"Alberta","Females","15 years and over","Could not find full-time work",16.1
2003,"Alberta","Females","15 years and over","Going to school",52.6
2003,"Alberta","Females","15 years and over","Own illness",5.6
2003,"Alberta","Females","15 years and over","Part-time employment, all reasons",217.8
2003,"Alberta","Females","15 years and over","Personal preference",58.2
2003,"Alberta","Males","15 years and over","Business conditions",14
2003,"Alberta","Males","15 years and over","Caring for children",NA
2003,"Alberta","Males","15 years and over","Could not find full-time work",6.6
2003,"Alberta","Males","15 years and over","Going to school",42.7
2003,"Alberta","Males","15 years and over","Own illness",3.1
2003,"Alberta","Males","15 years and over","Part-time employment, all reasons",93.8
2003,"Alberta","Males","15 years and over","Personal preference",23.6
2003,"British Columbia","Females","15 years and over","Business conditions",55
2003,"British Columbia","Females","15 years and over","Caring for children",49.7
2003,"British Columbia","Females","15 years and over","Could not find full-time work",36.5
2003,"British Columbia","Females","15 years and over","Going to school",62.2
2003,"British Columbia","Females","15 years and over","Own illness",8.5
2003,"British Columbia","Females","15 years and over","Part-time employment, all reasons",311.1
2003,"British Columbia","Females","15 years and over","Personal preference",79
2003,"British Columbia","Males","15 years and over","Business conditions",34.6
2003,"British Columbia","Males","15 years and over","Caring for children",NA
2003,"British Columbia","Males","15 years and over","Could not find full-time work",19
2003,"British Columbia","Males","15 years and over","Going to school",43.3
2003,"British Columbia","Males","15 years and over","Own illness",4
2003,"British Columbia","Males","15 years and over","Part-time employment, all reasons",135
2003,"British Columbia","Males","15 years and over","Personal preference",29.7
2003,"Canada","Females","15 years and over","Business conditions",306
2003,"Canada","Females","15 years and over","Caring for children",273.6
2003,"Canada","Females","15 years and over","Could not find full-time work",235.1
2003,"Canada","Females","15 years and over","Going to school",501.9
2003,"Canada","Females","15 years and over","Own illness",59.2
2003,"Canada","Females","15 years and over","Part-time employment, all reasons",2043.4
2003,"Canada","Females","15 years and over","Personal preference",533.3
2003,"Canada","Males","15 years and over","Business conditions",166.1
2003,"Canada","Males","15 years and over","Caring for children",5.7
2003,"Canada","Males","15 years and over","Could not find full-time work",109
2003,"Canada","Males","15 years and over","Going to school",379.8
2003,"Canada","Males","15 years and over","Own illness",31.6
2003,"Canada","Males","15 years and over","Part-time employment, all reasons",925
2003,"Canada","Males","15 years and over","Personal preference",206.5
2003,"Ontario","Females","15 years and over","Business conditions",130.4
2003,"Ontario","Females","15 years and over","Caring for children",106.4
2003,"Ontario","Females","15 years and over","Could not find full-time work",78.5
2003,"Ontario","Females","15 years and over","Going to school",204
2003,"Ontario","Females","15 years and over","Own illness",22.4
2003,"Ontario","Females","15 years and over","Part-time employment, all reasons",789.9
2003,"Ontario","Females","15 years and over","Personal preference",200.6
2003,"Ontario","Males","15 years and over","Business conditions",68.2
2003,"Ontario","Males","15 years and over","Caring for children",2.1
2003,"Ontario","Males","15 years and over","Could not find full-time work",35.2
2003,"Ontario","Males","15 years and over","Going to school",155.7
2003,"Ontario","Males","15 years and over","Own illness",13
2003,"Ontario","Males","15 years and over","Part-time employment, all reasons",361.7
2003,"Ontario","Males","15 years and over","Personal preference",78.2
2003,"Quebec","Females","15 years and over","Business conditions",47.7
2003,"Quebec","Females","15 years and over","Caring for children",37.2
2003,"Quebec","Females","15 years and over","Could not find full-time work",73.6
2003,"Quebec","Females","15 years and over","Going to school",119.8
2003,"Quebec","Females","15 years and over","Own illness",15.6
2003,"Quebec","Females","15 years and over","Part-time employment, all reasons",456.2
2003,"Quebec","Females","15 years and over","Personal preference",129.2
2003,"Quebec","Males","15 years and over","Business conditions",27.1
2003,"Quebec","Males","15 years and over","Caring for children",NA
2003,"Quebec","Males","15 years and over","Could not find full-time work",34.8
2003,"Quebec","Males","15 years and over","Going to school",89.8
2003,"Quebec","Males","15 years and over","Own illness",7.4
2003,"Quebec","Males","15 years and over","Part-time employment, all reasons",216.2
2003,"Quebec","Males","15 years and over","Personal preference",48.7
2004,"Alberta","Females","15 years and over","Business conditions",31.5
2004,"Alberta","Females","15 years and over","Caring for children",46.3
2004,"Alberta","Females","15 years and over","Could not find full-time work",13.1
2004,"Alberta","Females","15 years and over","Going to school",52.5
2004,"Alberta","Females","15 years and over","Own illness",7.3
2004,"Alberta","Females","15 years and over","Part-time employment, all reasons",226
2004,"Alberta","Females","15 years and over","Personal preference",64.2
2004,"Alberta","Males","15 years and over","Business conditions",14.3
2004,"Alberta","Males","15 years and over","Caring for children",NA
2004,"Alberta","Males","15 years and over","Could not find full-time work",4.6
2004,"Alberta","Males","15 years and over","Going to school",44.5
2004,"Alberta","Males","15 years and over","Own illness",4.3
2004,"Alberta","Males","15 years and over","Part-time employment, all reasons",94.7
2004,"Alberta","Males","15 years and over","Personal preference",23.7
2004,"British Columbia","Females","15 years and over","Business conditions",55.4
2004,"British Columbia","Females","15 years and over","Caring for children",51.1
2004,"British Columbia","Females","15 years and over","Could not find full-time work",30.2
2004,"British Columbia","Females","15 years and over","Going to school",59.8
2004,"British Columbia","Females","15 years and over","Own illness",9
2004,"British Columbia","Females","15 years and over","Part-time employment, all reasons",296.7
2004,"British Columbia","Females","15 years and over","Personal preference",76.9
2004,"British Columbia","Males","15 years and over","Business conditions",31.2
2004,"British Columbia","Males","15 years and over","Caring for children",1.9
2004,"British Columbia","Males","15 years and over","Could not find full-time work",13.1
2004,"British Columbia","Males","15 years and over","Going to school",43.9
2004,"British Columbia","Males","15 years and over","Own illness",5.8
2004,"British Columbia","Males","15 years and over","Part-time employment, all reasons",128.3
2004,"British Columbia","Males","15 years and over","Personal preference",29.6
2004,"Canada","Females","15 years and over","Business conditions",331.3
2004,"Canada","Females","15 years and over","Caring for children",290.5
2004,"Canada","Females","15 years and over","Could not find full-time work",197.1
2004,"Canada","Females","15 years and over","Going to school",501.9
2004,"Canada","Females","15 years and over","Own illness",63.4
2004,"Canada","Females","15 years and over","Part-time employment, all reasons",2027.1
2004,"Canada","Females","15 years and over","Personal preference",548.3
2004,"Canada","Males","15 years and over","Business conditions",169.7
2004,"Canada","Males","15 years and over","Caring for children",8.3
2004,"Canada","Males","15 years and over","Could not find full-time work",87.3
2004,"Canada","Males","15 years and over","Going to school",386.8
2004,"Canada","Males","15 years and over","Own illness",35.1
2004,"Canada","Males","15 years and over","Part-time employment, all reasons",921.3
2004,"Canada","Males","15 years and over","Personal preference",213.5
2004,"Ontario","Females","15 years and over","Business conditions",141
2004,"Ontario","Females","15 years and over","Caring for children",115.5
2004,"Ontario","Females","15 years and over","Could not find full-time work",62.2
2004,"Ontario","Females","15 years and over","Going to school",201.3
2004,"Ontario","Females","15 years and over","Own illness",22.7
2004,"Ontario","Females","15 years and over","Part-time employment, all reasons",782.1
2004,"Ontario","Females","15 years and over","Personal preference",205
2004,"Ontario","Males","15 years and over","Business conditions",71.4
2004,"Ontario","Males","15 years and over","Caring for children",3.1
2004,"Ontario","Males","15 years and over","Could not find full-time work",28.4
2004,"Ontario","Males","15 years and over","Going to school",160.6
2004,"Ontario","Males","15 years and over","Own illness",13.2
2004,"Ontario","Males","15 years and over","Part-time employment, all reasons",366.2
2004,"Ontario","Males","15 years and over","Personal preference",81.2
2004,"Quebec","Females","15 years and over","Business conditions",47.9
2004,"Quebec","Females","15 years and over","Caring for children",40.3
2004,"Quebec","Females","15 years and over","Could not find full-time work",69.5
2004,"Quebec","Females","15 years and over","Going to school",123.9
2004,"Quebec","Females","15 years and over","Own illness",16.7
2004,"Quebec","Females","15 years and over","Part-time employment, all reasons",452.4
2004,"Quebec","Females","15 years and over","Personal preference",131.4
2004,"Quebec","Males","15 years and over","Business conditions",27.6
2004,"Quebec","Males","15 years and over","Caring for children",NA
2004,"Quebec","Males","15 years and over","Could not find full-time work",31.2
2004,"Quebec","Males","15 years and over","Going to school",91.6
2004,"Quebec","Males","15 years and over","Own illness",8.3
2004,"Quebec","Males","15 years and over","Part-time employment, all reasons",215.7
2004,"Quebec","Males","15 years and over","Personal preference",50.9
2005,"Alberta","Females","15 years and over","Business conditions",28.1
2005,"Alberta","Females","15 years and over","Caring for children",45.7
2005,"Alberta","Females","15 years and over","Could not find full-time work",8.9
2005,"Alberta","Females","15 years and over","Going to school",52.7
2005,"Alberta","Females","15 years and over","Own illness",7.9
2005,"Alberta","Females","15 years and over","Part-time employment, all reasons",219.3
2005,"Alberta","Females","15 years and over","Personal preference",64.3
2005,"Alberta","Males","15 years and over","Business conditions",13.5
2005,"Alberta","Males","15 years and over","Caring for children",2
2005,"Alberta","Males","15 years and over","Could not find full-time work",4.4
2005,"Alberta","Males","15 years and over","Going to school",41.7
2005,"Alberta","Males","15 years and over","Own illness",4
2005,"Alberta","Males","15 years and over","Part-time employment, all reasons",93.7
2005,"Alberta","Males","15 years and over","Personal preference",25.4
2005,"British Columbia","Females","15 years and over","Business conditions",50.6
2005,"British Columbia","Females","15 years and over","Caring for children",58.3
2005,"British Columbia","Females","15 years and over","Could not find full-time work",22.2
2005,"British Columbia","Females","15 years and over","Going to school",67.7
2005,"British Columbia","Females","15 years and over","Own illness",8
2005,"British Columbia","Females","15 years and over","Part-time employment, all reasons",302.5
2005,"British Columbia","Females","15 years and over","Personal preference",82.6
2005,"British Columbia","Males","15 years and over","Business conditions",26
2005,"British Columbia","Males","15 years and over","Caring for children",2.1
2005,"British Columbia","Males","15 years and over","Could not find full-time work",10.6
2005,"British Columbia","Males","15 years and over","Going to school",45.3
2005,"British Columbia","Males","15 years and over","Own illness",5.1
2005,"British Columbia","Males","15 years and over","Part-time employment, all reasons",128
2005,"British Columbia","Males","15 years and over","Personal preference",35
2005,"Canada","Females","15 years and over","Business conditions",341.9
2005,"Canada","Females","15 years and over","Caring for children",308.2
2005,"Canada","Females","15 years and over","Could not find full-time work",164
2005,"Canada","Females","15 years and over","Going to school",526.4
2005,"Canada","Females","15 years and over","Own illness",63.6
2005,"Canada","Females","15 years and over","Part-time employment, all reasons",2033
2005,"Canada","Females","15 years and over","Personal preference",543.7
2005,"Canada","Males","15 years and over","Business conditions",173.4
2005,"Canada","Males","15 years and over","Caring for children",10.5
2005,"Canada","Males","15 years and over","Could not find full-time work",76.2
2005,"Canada","Males","15 years and over","Going to school",391.9
2005,"Canada","Males","15 years and over","Own illness",32.8
2005,"Canada","Males","15 years and over","Part-time employment, all reasons",935.2
2005,"Canada","Males","15 years and over","Personal preference",228.5
2005,"Ontario","Females","15 years and over","Business conditions",152.7
2005,"Ontario","Females","15 years and over","Caring for children",118.9
2005,"Ontario","Females","15 years and over","Could not find full-time work",57.9
2005,"Ontario","Females","15 years and over","Going to school",216.8
2005,"Ontario","Females","15 years and over","Own illness",22.4
2005,"Ontario","Females","15 years and over","Part-time employment, all reasons",791
2005,"Ontario","Females","15 years and over","Personal preference",190.8
2005,"Ontario","Males","15 years and over","Business conditions",73.7
2005,"Ontario","Males","15 years and over","Caring for children",3.7
2005,"Ontario","Males","15 years and over","Could not find full-time work",25.5
2005,"Ontario","Males","15 years and over","Going to school",159.7
2005,"Ontario","Males","15 years and over","Own illness",11.3
2005,"Ontario","Males","15 years and over","Part-time employment, all reasons",369.5
2005,"Ontario","Males","15 years and over","Personal preference",87.9
2005,"Quebec","Females","15 years and over","Business conditions",55.1
2005,"Quebec","Females","15 years and over","Caring for children",42.2
2005,"Quebec","Females","15 years and over","Could not find full-time work",55.5
2005,"Quebec","Females","15 years and over","Going to school",125
2005,"Quebec","Females","15 years and over","Own illness",17.2
2005,"Quebec","Females","15 years and over","Part-time employment, all reasons",449.1
2005,"Quebec","Females","15 years and over","Personal preference",136
2005,"Quebec","Males","15 years and over","Business conditions",34.4
2005,"Quebec","Males","15 years and over","Caring for children",1.5
2005,"Quebec","Males","15 years and over","Could not find full-time work",27.5
2005,"Quebec","Males","15 years and over","Going to school",95.2
2005,"Quebec","Males","15 years and over","Own illness",8.4
2005,"Quebec","Males","15 years and over","Part-time employment, all reasons",224.1
2005,"Quebec","Males","15 years and over","Personal preference",52.2
2006,"Alberta","Females","15 years and over","Business conditions",23.8
2006,"Alberta","Females","15 years and over","Caring for children",45
2006,"Alberta","Females","15 years and over","Could not find full-time work",7.6
2006,"Alberta","Females","15 years and over","Going to school",56.3
2006,"Alberta","Females","15 years and over","Own illness",6.7
2006,"Alberta","Females","15 years and over","Part-time employment, all reasons",219.2
2006,"Alberta","Females","15 years and over","Personal preference",68.1
2006,"Alberta","Males","15 years and over","Business conditions",12
2006,"Alberta","Males","15 years and over","Caring for children",NA
2006,"Alberta","Males","15 years and over","Could not find full-time work",NA
2006,"Alberta","Males","15 years and over","Going to school",41.6
2006,"Alberta","Males","15 years and over","Own illness",3.1
2006,"Alberta","Males","15 years and over","Part-time employment, all reasons",88.2
2006,"Alberta","Males","15 years and over","Personal preference",24.7
2006,"British Columbia","Females","15 years and over","Business conditions",47.2
2006,"British Columbia","Females","15 years and over","Caring for children",56.4
2006,"British Columbia","Females","15 years and over","Could not find full-time work",14.9
2006,"British Columbia","Females","15 years and over","Going to school",72.4
2006,"British Columbia","Females","15 years and over","Own illness",8.3
2006,"British Columbia","Females","15 years and over","Part-time employment, all reasons",303.8
2006,"British Columbia","Females","15 years and over","Personal preference",89.7
2006,"British Columbia","Males","15 years and over","Business conditions",28.9
2006,"British Columbia","Males","15 years and over","Caring for children",2.6
2006,"British Columbia","Males","15 years and over","Could not find full-time work",8.2
2006,"British Columbia","Males","15 years and over","Going to school",47
2006,"British Columbia","Males","15 years and over","Own illness",6.2
2006,"British Columbia","Males","15 years and over","Part-time employment, all reasons",139.8
2006,"British Columbia","Males","15 years and over","Personal preference",42.9
2006,"Canada","Females","15 years and over","Business conditions",324.9
2006,"Canada","Females","15 years and over","Caring for children",282.9
2006,"Canada","Females","15 years and over","Could not find full-time work",144.3
2006,"Canada","Females","15 years and over","Going to school",553
2006,"Canada","Females","15 years and over","Own illness",61.4
2006,"Canada","Females","15 years and over","Part-time employment, all reasons",2025.3
2006,"Canada","Females","15 years and over","Personal preference",568.5
2006,"Canada","Males","15 years and over","Business conditions",182
2006,"Canada","Males","15 years and over","Caring for children",10.2
2006,"Canada","Males","15 years and over","Could not find full-time work",71.6
2006,"Canada","Males","15 years and over","Going to school",402.5
2006,"Canada","Males","15 years and over","Own illness",31.6
2006,"Canada","Males","15 years and over","Part-time employment, all reasons",965.4
2006,"Canada","Males","15 years and over","Personal preference",244.2
2006,"Ontario","Females","15 years and over","Business conditions",142
2006,"Ontario","Females","15 years and over","Caring for children",102.4
2006,"Ontario","Females","15 years and over","Could not find full-time work",47.3
2006,"Ontario","Females","15 years and over","Going to school",228.6
2006,"Ontario","Females","15 years and over","Own illness",24.6
2006,"Ontario","Females","15 years and over","Part-time employment, all reasons",775.2
2006,"Ontario","Females","15 years and over","Personal preference",196.4
2006,"Ontario","Males","15 years and over","Business conditions",83.6
2006,"Ontario","Males","15 years and over","Caring for children",3.7
2006,"Ontario","Males","15 years and over","Could not find full-time work",25.1
2006,"Ontario","Males","15 years and over","Going to school",162.5
2006,"Ontario","Males","15 years and over","Own illness",10.6
2006,"Ontario","Males","15 years and over","Part-time employment, all reasons",384.6
2006,"Ontario","Males","15 years and over","Personal preference",91.4
2006,"Quebec","Females","15 years and over","Business conditions",57.8
2006,"Quebec","Females","15 years and over","Caring for children",41.2
2006,"Quebec","Females","15 years and over","Could not find full-time work",56.7
2006,"Quebec","Females","15 years and over","Going to school",126.9
2006,"Quebec","Females","15 years and over","Own illness",14.1
2006,"Quebec","Females","15 years and over","Part-time employment, all reasons",456.4
2006,"Quebec","Females","15 years and over","Personal preference",141.2
2006,"Quebec","Males","15 years and over","Business conditions",33
2006,"Quebec","Males","15 years and over","Caring for children",1.6
