"Year","GEO","Prices","Estimates","UOM","SCALAR_FACTOR","VALUE"
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",12
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",28
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",4
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: residential structures","Percent","units",0.873
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: non-residential structures","Percent","units",0.525
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: machinery and equipment","Percent","units",-1.098
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: intellectual property products","Percent","units",0.035
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: residential structures","Percent","units",0.194
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: non-residential structures","Percent","units",7.051
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: machinery and equipment","Percent","units",1.316
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: weapons systems","Percent","units",0.777
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: intellectual property products","Percent","units",0.937
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: residential investment","Percent","units",-7.615
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Percent","units",0
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Percent","units",0
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Percent","units",0.008
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",26070
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",23761
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",4793
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1487
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",134
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",16898
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",172
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",325
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2356
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",106
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",241
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",27
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",23317
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",20085
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5030
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1350
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",116
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",14324
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",183
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",256
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2128
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",87
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",206
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",24
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",31388
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",26492
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5580
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1638
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",187
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",18323
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",225
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",472
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2932
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",116
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",291
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",30
1961,"Canada","Current prices","Business gross fixed capital formation: residential structures","Dollars","millions",2264
1961,"Canada","Current prices","Business gross fixed capital formation: non-residential structures","Dollars","millions",2532
1961,"Canada","Current prices","Business gross fixed capital formation: machinery and equipment","Dollars","millions",2088
1961,"Canada","Current prices","Business gross fixed capital formation: intellectual property products","Dollars","millions",228
1961,"Canada","Current prices","General governments gross fixed capital formation: residential structures","Dollars","millions",20
1961,"Canada","Current prices","General governments gross fixed capital formation: non-residential structures","Dollars","millions",1680
1961,"Canada","Current prices","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",220
1961,"Canada","Current prices","General governments gross fixed capital formation: weapons systems","Dollars","millions",100
1961,"Canada","Current prices","General governments gross fixed capital formation: intellectual property products","Dollars","millions",268
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",12
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",32
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",4
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: residential structures","Percent","units",1.151
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: non-residential structures","Percent","units",1.16
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: machinery and equipment","Percent","units",0.996
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: intellectual property products","Percent","units",-0.008
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: residential structures","Percent","units",0.181
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: non-residential structures","Percent","units",1.014
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: machinery and equipment","Percent","units",1.044
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: weapons systems","Percent","units",0.544
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: intellectual property products","Percent","units",0.694
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: residential investment","Percent","units",0.125
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Percent","units",8.594
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Percent","units",0
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Percent","units",-0.117
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",27018
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",24534
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",4956
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1478
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",167
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",17128
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",191
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",369
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2506
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",106
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",276
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",27
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",24164
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",20739
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5201
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1342
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",145
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",14519
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",204
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",291
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2263
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",87
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",236
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",24
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",30287
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",26785
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5598
1961,"Canada","Chained (2017) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1619
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",150
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",18344
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",270
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",510
1961,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",3008
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",155
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",291
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",30
1961,"Canada","Current prices","Business gross fixed capital formation: residential structures","Dollars","millions",2196
1961,"Canada","Current prices","Business gross fixed capital formation: non-residential structures","Dollars","millions",2552
1961,"Canada","Current prices","Business gross fixed capital formation: machinery and equipment","Dollars","millions",2092
1961,"Canada","Current prices","Business gross fixed capital formation: intellectual property products","Dollars","millions",224
1961,"Canada","Current prices","General governments gross fixed capital formation: residential structures","Dollars","millions",16
1961,"Canada","Current prices","General governments gross fixed capital formation: non-residential structures","Dollars","millions",1708
1961,"Canada","Current prices","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",260
1961,"Canada","Current prices","General governments gross fixed capital formation: weapons systems","Dollars","millions",108
1961,"Canada","Current prices","General governments gross fixed capital formation: intellectual property products","Dollars","millions",276
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",16
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",32
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Current prices","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",4
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: residential structures","Percent","units",-1.12
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: non-residential structures","Percent","units",0.387
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: machinery and equipment","Percent","units",0.094
1961,"Canada","Contributions to percent change","Business gross fixed capital formation: intellectual property products","Percent","units",-0.051
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: residential structures","Percent","units",-0.174
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: non-residential structures","Percent","units",0.122
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: machinery and equipment","Percent","units",1.859
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: weapons systems","Percent","units",0.348
1961,"Canada","Contributions to percent change","General governments gross fixed capital formation: intellectual property products","Percent","units",0.319
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: residential investment","Percent","units",7.451
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Percent","units",-0.491
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Percent","units",0
1961,"Canada","Contributions to percent change","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Percent","units",-0.023
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",26070
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",24805
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",4972
1961,"Canada","Chained (2012) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1461
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",134
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",17148
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",229
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",398
1961,"Canada","Chained (2012) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2571
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",141
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",276
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2012) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",27
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",23317
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",20968
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5218
1961,"Canada","Chained (2007) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1326
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",116
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",14536
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",244
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",314
1961,"Canada","Chained (2007) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2322
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",116
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",236
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1961,"Canada","Chained (2007) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",24
1962,"Canada","Chained (2017) dollars","Business gross fixed capital formation: residential structures","Dollars","millions",30160
1962,"Canada","Chained (2017) dollars","Business gross fixed capital formation: non-residential structures","Dollars","millions",25487
1962,"Canada","Chained (2017) dollars","Business gross fixed capital formation: machinery and equipment","Dollars","millions",5883
1962,"Canada","Chained (2017) dollars","Business gross fixed capital formation: intellectual property products","Dollars","millions",1565
1962,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: residential structures","Dollars","millions",150
1962,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: non-residential structures","Dollars","millions",20712
1962,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: machinery and equipment","Dollars","millions",226
1962,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: weapons systems","Dollars","millions",529
1962,"Canada","Chained (2017) dollars","General governments gross fixed capital formation: intellectual property products","Dollars","millions",2953
1962,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: residential investment","Dollars","millions",155
1962,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: non-residential investment","Dollars","millions",291
1962,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: machinery and equipment","Dollars","millions",4
1962,"Canada","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation: intellectual property products","Dollars","millions",30
1962,"Canada","Current prices","Business gross fixed capital formation: residential structures","Dollars","millions",2196
1962,"Canada","Current prices","Business gross fixed capital formation: non-residential structures","Dollars","millions",2444
1962,"Canada","Current prices","Business gross fixed capital formation: machinery and equipment","Dollars","millions",2204
1962,"Canada","Current prices","Business gross fixed capital formation: intellectual property products","Dollars","millions",220
1962,"Canada","Current prices","General governments gross fixed capital formation: residential structures","Dollars","millions",16
1962,"Canada","Current prices","General governments gross fixed capital formation: non-residential structures","Dollars","millions",1860
