"Year","Labour productivity and related measures","Industry","VALUE"
1997,"Labour share","Mining and oil and gas extraction [BS21]",28.1
1997,"Labour share","Utilities [BS22]",25
1997,"Labour share","Construction [BS23]",79
1997,"Labour share","Manufacturing [BS3A]",58.5
1997,"Labour share","Service-producing businesses",63.4
1997,"Labour share","Energy sector",22.8
1997,"Labour share","Information and communication sector",70.1
1997,"Total number of jobs","All industries",183380
1997,"Total number of jobs","Business sector industries",122315
1997,"Total number of jobs","Goods-producing businesses",34765
1997,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",6885
1997,"Total number of jobs","Mining and oil and gas extraction [BS21]",3360
1997,"Total number of jobs","Utilities [BS22]",2585
1997,"Total number of jobs","Construction [BS23]",12120
1997,"Total number of jobs","Manufacturing [BS3A]",9815
1997,"Total number of jobs","Service-producing businesses",87550
1997,"Total number of jobs","Energy sector",3070
1997,"Total number of jobs","Information and communication sector",2510
1997,"Hours worked for all jobs","All industries",340864.8
1997,"Hours worked for all jobs","Business sector industries",233184.6
1997,"Hours worked for all jobs","Goods-producing businesses",77323.7
1997,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",16778.3
1997,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",7695.6
1997,"Hours worked for all jobs","Utilities [BS22]",4935.9
1997,"Hours worked for all jobs","Construction [BS23]",28440.3
1997,"Hours worked for all jobs","Manufacturing [BS3A]",19473.6
1997,"Hours worked for all jobs","Service-producing businesses",155860.9
1997,"Hours worked for all jobs","Energy sector",6173.1
1997,"Hours worked for all jobs","Information and communication sector",4801.7
1997,"Annual average number of hours worked for all jobs","All industries",1859
1997,"Annual average number of hours worked for all jobs","Business sector industries",1906
1997,"Annual average number of hours worked for all jobs","Goods-producing businesses",2224
1997,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2437
1997,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2290
1997,"Annual average number of hours worked for all jobs","Utilities [BS22]",1909
1997,"Annual average number of hours worked for all jobs","Construction [BS23]",2347
1997,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1984
1997,"Annual average number of hours worked for all jobs","Service-producing businesses",1780
1997,"Annual average number of hours worked for all jobs","Energy sector",2011
1997,"Annual average number of hours worked for all jobs","Information and communication sector",1913
1997,"Total compensation for all jobs","All industries",5721161
1997,"Total compensation for all jobs","Business sector industries",3475356
1997,"Total compensation for all jobs","Goods-producing businesses",1384892
1997,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",253974
1997,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",225973
1997,"Total compensation for all jobs","Utilities [BS22]",129544
1997,"Total compensation for all jobs","Construction [BS23]",440760
1997,"Total compensation for all jobs","Manufacturing [BS3A]",334641
1997,"Total compensation for all jobs","Service-producing businesses",2090464
1997,"Total compensation for all jobs","Energy sector",161789
1997,"Total compensation for all jobs","Information and communication sector",114917
1997,"Nominal value added","All industries",9570015
1997,"Nominal value added","Business sector industries",5883702
1997,"Nominal value added","Goods-producing businesses",2318537
1997,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",334373
1997,"Nominal value added","Mining and oil and gas extraction [BS21]",441974
1997,"Nominal value added","Utilities [BS22]",344048
1997,"Nominal value added","Construction [BS23]",627683
1997,"Nominal value added","Manufacturing [BS3A]",570459
1997,"Nominal value added","Service-producing businesses",3565165
1997,"Nominal value added","Energy sector",443100
1997,"Nominal value added","Information and communication sector",334028
1997,"Real value added","All industries",18677324
1997,"Real value added","Business sector industries",12285344
1997,"Real value added","Goods-producing businesses",6239309
1997,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",349917
1997,"Real value added","Mining and oil and gas extraction [BS21]",1775675
1997,"Real value added","Utilities [BS22]",430558
1997,"Real value added","Construction [BS23]",1386002
1997,"Real value added","Manufacturing [BS3A]",646100
1997,"Real value added","Service-producing businesses",5016708
1997,"Real value added","Energy sector",1806346
1997,"Real value added","Information and communication sector",353751
1997,"Labour productivity","All industries",54.8
1997,"Labour productivity","Business sector industries",52.7
1997,"Labour productivity","Goods-producing businesses",80.7
1997,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",20.9
1997,"Labour productivity","Mining and oil and gas extraction [BS21]",230.7
1997,"Labour productivity","Utilities [BS22]",87.2
1997,"Labour productivity","Construction [BS23]",48.7
1997,"Labour productivity","Manufacturing [BS3A]",33.2
1997,"Labour productivity","Service-producing businesses",32.2
1997,"Labour productivity","Energy sector",292.6
1997,"Labour productivity","Information and communication sector",73.7
1997,"Total compensation per hour worked","All industries",16.78
1997,"Total compensation per hour worked","Business sector industries",14.9
1997,"Total compensation per hour worked","Goods-producing businesses",17.91
1997,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",15.14
1997,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",29.36
1997,"Total compensation per hour worked","Utilities [BS22]",26.25
1997,"Total compensation per hour worked","Construction [BS23]",15.5
1997,"Total compensation per hour worked","Manufacturing [BS3A]",17.18
1997,"Total compensation per hour worked","Service-producing businesses",13.41
1997,"Total compensation per hour worked","Energy sector",26.21
1997,"Total compensation per hour worked","Information and communication sector",23.93
1997,"Unit labour cost","All industries",0.306
1997,"Unit labour cost","Business sector industries",0.283
1997,"Unit labour cost","Goods-producing businesses",0.222
1997,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.726
1997,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.127
1997,"Unit labour cost","Utilities [BS22]",0.301
1997,"Unit labour cost","Construction [BS23]",0.318
1997,"Unit labour cost","Manufacturing [BS3A]",0.518
1997,"Unit labour cost","Service-producing businesses",0.417
1997,"Unit labour cost","Energy sector",0.09
1997,"Unit labour cost","Information and communication sector",0.325
1997,"Unit labour cost in US dollars","All industries",0.221
1997,"Unit labour cost in US dollars","Business sector industries",0.204
1997,"Unit labour cost in US dollars","Goods-producing businesses",0.16
1997,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.524
1997,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.092
1997,"Unit labour cost in US dollars","Utilities [BS22]",0.217
1997,"Unit labour cost in US dollars","Construction [BS23]",0.23
1997,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.374
1997,"Unit labour cost in US dollars","Service-producing businesses",0.301
1997,"Unit labour cost in US dollars","Energy sector",0.065
1997,"Unit labour cost in US dollars","Information and communication sector",0.235
1997,"Labour share","All industries",59.8
1997,"Labour share","Business sector industries",59.1
1997,"Labour share","Goods-producing businesses",59.7
1997,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",76
1997,"Labour share","Mining and oil and gas extraction [BS21]",51.1
1997,"Labour share","Utilities [BS22]",37.7
1997,"Labour share","Construction [BS23]",70.2
1997,"Labour share","Manufacturing [BS3A]",58.7
1997,"Labour share","Service-producing businesses",58.6
1997,"Labour share","Energy sector",36.5
1997,"Labour share","Information and communication sector",34.4
1997,"Total number of jobs","All industries",58595
1997,"Total number of jobs","Business sector industries",40460
1997,"Total number of jobs","Goods-producing businesses",13565
1997,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",6225
1997,"Total number of jobs","Mining and oil and gas extraction [BS21]",70
1997,"Total number of jobs","Utilities [BS22]",225
1997,"Total number of jobs","Construction [BS23]",3790
1997,"Total number of jobs","Manufacturing [BS3A]",3255
1997,"Total number of jobs","Service-producing businesses",26895
1997,"Total number of jobs","Energy sector",220
1997,"Total number of jobs","Information and communication sector",735
1997,"Hours worked for all jobs","All industries",109279.1
1997,"Hours worked for all jobs","Business sector industries",77923.7
1997,"Hours worked for all jobs","Goods-producing businesses",30900.7
1997,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",15175.6
1997,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",130.7
1997,"Hours worked for all jobs","Utilities [BS22]",426.1
1997,"Hours worked for all jobs","Construction [BS23]",8358.3
1997,"Hours worked for all jobs","Manufacturing [BS3A]",6810
1997,"Hours worked for all jobs","Service-producing businesses",47023
1997,"Hours worked for all jobs","Energy sector",431.7
1997,"Hours worked for all jobs","Information and communication sector",1425.5
1997,"Annual average number of hours worked for all jobs","All industries",1865
1997,"Annual average number of hours worked for all jobs","Business sector industries",1926
1997,"Annual average number of hours worked for all jobs","Goods-producing businesses",2278
1997,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2438
1997,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",1867
1997,"Annual average number of hours worked for all jobs","Utilities [BS22]",1894
1997,"Annual average number of hours worked for all jobs","Construction [BS23]",2205
1997,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",2092
1997,"Annual average number of hours worked for all jobs","Service-producing businesses",1748
1997,"Annual average number of hours worked for all jobs","Energy sector",1962
1997,"Annual average number of hours worked for all jobs","Information and communication sector",1939
1997,"Total compensation for all jobs","All industries",1604637
1997,"Total compensation for all jobs","Business sector industries",1007049
1997,"Total compensation for all jobs","Goods-producing businesses",385410
1997,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",132364
1997,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",2016
1997,"Total compensation for all jobs","Utilities [BS22]",12098
1997,"Total compensation for all jobs","Construction [BS23]",118430
1997,"Total compensation for all jobs","Manufacturing [BS3A]",120502
1997,"Total compensation for all jobs","Service-producing businesses",621639
1997,"Total compensation for all jobs","Energy sector",12325
1997,"Total compensation for all jobs","Information and communication sector",28102
1997,"Nominal value added","All industries",2578998
1997,"Nominal value added","Business sector industries",1585493
1997,"Nominal value added","Goods-producing businesses",634695
1997,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",242424
1997,"Nominal value added","Mining and oil and gas extraction [BS21]",4119
1997,"Nominal value added","Utilities [BS22]",45388
1997,"Nominal value added","Construction [BS23]",134183
1997,"Nominal value added","Manufacturing [BS3A]",208581
1997,"Nominal value added","Service-producing businesses",950798
1997,"Nominal value added","Energy sector",46200
1997,"Nominal value added","Information and communication sector",69086
1997,"Real value added","All industries",3756178
1997,"Real value added","Business sector industries",2319354
1997,"Real value added","Goods-producing businesses",909182
1997,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",364230
1997,"Real value added","Mining and oil and gas extraction [BS21]",13746
1997,"Real value added","Utilities [BS22]",37472
1997,"Real value added","Construction [BS23]",237508
1997,"Real value added","Manufacturing [BS3A]",265129
1997,"Real value added","Service-producing businesses",1408316
1997,"Real value added","Energy sector",38760
1997,"Real value added","Information and communication sector",89552
1997,"Labour productivity","All industries",34.4
1997,"Labour productivity","Business sector industries",29.8
1997,"Labour productivity","Goods-producing businesses",29.4
1997,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",24
1997,"Labour productivity","Mining and oil and gas extraction [BS21]",105.2
1997,"Labour productivity","Utilities [BS22]",87.9
1997,"Labour productivity","Construction [BS23]",28.4
1997,"Labour productivity","Manufacturing [BS3A]",38.9
1997,"Labour productivity","Service-producing businesses",29.9
1997,"Labour productivity","Energy sector",89.8
1997,"Labour productivity","Information and communication sector",62.8
1997,"Total compensation per hour worked","All industries",14.68
1997,"Total compensation per hour worked","Business sector industries",12.92
1997,"Total compensation per hour worked","Goods-producing businesses",12.47
1997,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",8.72
1997,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",15.42
1997,"Total compensation per hour worked","Utilities [BS22]",28.39
1997,"Total compensation per hour worked","Construction [BS23]",14.17
1997,"Total compensation per hour worked","Manufacturing [BS3A]",17.69
1997,"Total compensation per hour worked","Service-producing businesses",13.22
1997,"Total compensation per hour worked","Energy sector",28.55
1997,"Total compensation per hour worked","Information and communication sector",19.71
1997,"Unit labour cost","All industries",0.427
1997,"Unit labour cost","Business sector industries",0.434
1997,"Unit labour cost","Goods-producing businesses",0.424
1997,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.363
1997,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.147
1997,"Unit labour cost","Utilities [BS22]",0.323
1997,"Unit labour cost","Construction [BS23]",0.499
1997,"Unit labour cost","Manufacturing [BS3A]",0.455
1997,"Unit labour cost","Service-producing businesses",0.441
1997,"Unit labour cost","Energy sector",0.318
1997,"Unit labour cost","Information and communication sector",0.314
1997,"Unit labour cost in US dollars","All industries",0.309
1997,"Unit labour cost in US dollars","Business sector industries",0.314
1997,"Unit labour cost in US dollars","Goods-producing businesses",0.306
1997,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.263
1997,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.106
1997,"Unit labour cost in US dollars","Utilities [BS22]",0.233
1997,"Unit labour cost in US dollars","Construction [BS23]",0.36
1997,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.328
1997,"Unit labour cost in US dollars","Service-producing businesses",0.319
1997,"Unit labour cost in US dollars","Energy sector",0.23
1997,"Unit labour cost in US dollars","Information and communication sector",0.227
1997,"Labour share","All industries",62.2
1997,"Labour share","Business sector industries",63.5
1997,"Labour share","Goods-producing businesses",60.7
1997,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",54.6
1997,"Labour share","Mining and oil and gas extraction [BS21]",48.9
1997,"Labour share","Utilities [BS22]",26.7
1997,"Labour share","Construction [BS23]",88.3
1997,"Labour share","Manufacturing [BS3A]",57.8
1997,"Labour share","Service-producing businesses",65.4
1997,"Labour share","Energy sector",26.7
1997,"Labour share","Information and communication sector",40.7
1997,"Total number of jobs","All industries",397335
1997,"Total number of jobs","Business sector industries",275515
1997,"Total number of jobs","Goods-producing businesses",81525
1997,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",15575
1997,"Total number of jobs","Mining and oil and gas extraction [BS21]",3225
1997,"Total number of jobs","Utilities [BS22]",2105
1997,"Total number of jobs","Construction [BS23]",19115
1997,"Total number of jobs","Manufacturing [BS3A]",41505
1997,"Total number of jobs","Service-producing businesses",193990
1997,"Total number of jobs","Energy sector",3570
1997,"Total number of jobs","Information and communication sector",6750
1997,"Hours worked for all jobs","All industries",724913.8
1997,"Hours worked for all jobs","Business sector industries",505715.9
1997,"Hours worked for all jobs","Goods-producing businesses",166308.8
1997,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",32381.6
1997,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",7088.8
1997,"Hours worked for all jobs","Utilities [BS22]",4122.8
1997,"Hours worked for all jobs","Construction [BS23]",39218
1997,"Hours worked for all jobs","Manufacturing [BS3A]",83497.6
1997,"Hours worked for all jobs","Service-producing businesses",339407.1
1997,"Hours worked for all jobs","Energy sector",7335.7
1997,"Hours worked for all jobs","Information and communication sector",13343
1997,"Annual average number of hours worked for all jobs","All industries",1824
1997,"Annual average number of hours worked for all jobs","Business sector industries",1836
1997,"Annual average number of hours worked for all jobs","Goods-producing businesses",2040
1997,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2079
1997,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2198
1997,"Annual average number of hours worked for all jobs","Utilities [BS22]",1959
1997,"Annual average number of hours worked for all jobs","Construction [BS23]",2052
1997,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",2012
1997,"Annual average number of hours worked for all jobs","Service-producing businesses",1750
1997,"Annual average number of hours worked for all jobs","Energy sector",2055
1997,"Annual average number of hours worked for all jobs","Information and communication sector",1977
1997,"Total compensation for all jobs","All industries",11689118
1997,"Total compensation for all jobs","Business sector industries",7607992
1997,"Total compensation for all jobs","Goods-producing businesses",2812227
1997,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",334156
1997,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",167846
1997,"Total compensation for all jobs","Utilities [BS22]",129375
1997,"Total compensation for all jobs","Construction [BS23]",719399
1997,"Total compensation for all jobs","Manufacturing [BS3A]",1461451
1997,"Total compensation for all jobs","Service-producing businesses",4795765
1997,"Total compensation for all jobs","Energy sector",211110
1997,"Total compensation for all jobs","Information and communication sector",300580
1997,"Nominal value added","All industries",19026987
1997,"Nominal value added","Business sector industries",11807369
1997,"Nominal value added","Goods-producing businesses",4014818
1997,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",516906
1997,"Nominal value added","Mining and oil and gas extraction [BS21]",329178
1997,"Nominal value added","Utilities [BS22]",436452
1997,"Nominal value added","Construction [BS23]",816350
1997,"Nominal value added","Manufacturing [BS3A]",1915932
1997,"Nominal value added","Service-producing businesses",7792551
1997,"Nominal value added","Energy sector",664854
1997,"Nominal value added","Information and communication sector",622934
1997,"Real value added","All industries",26148473
1997,"Real value added","Business sector industries",15839571
1997,"Real value added","Goods-producing businesses",5654176
1997,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",617050
1997,"Real value added","Mining and oil and gas extraction [BS21]",428651
1997,"Real value added","Utilities [BS22]",674559
1997,"Real value added","Construction [BS23]",1533286
1997,"Real value added","Manufacturing [BS3A]",2174740
1997,"Real value added","Service-producing businesses",10147123
1997,"Real value added","Energy sector",1149779
1997,"Real value added","Information and communication sector",705472
1997,"Labour productivity","All industries",36.1
1997,"Labour productivity","Business sector industries",31.3
1997,"Labour productivity","Goods-producing businesses",34
1997,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",19.1
1997,"Labour productivity","Mining and oil and gas extraction [BS21]",60.5
1997,"Labour productivity","Utilities [BS22]",163.6
1997,"Labour productivity","Construction [BS23]",39.1
1997,"Labour productivity","Manufacturing [BS3A]",26
1997,"Labour productivity","Service-producing businesses",29.9
1997,"Labour productivity","Energy sector",156.7
1997,"Labour productivity","Information and communication sector",52.9
1997,"Total compensation per hour worked","All industries",16.12
1997,"Total compensation per hour worked","Business sector industries",15.04
1997,"Total compensation per hour worked","Goods-producing businesses",16.91
1997,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",10.32
1997,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",23.68
1997,"Total compensation per hour worked","Utilities [BS22]",31.38
1997,"Total compensation per hour worked","Construction [BS23]",18.34
1997,"Total compensation per hour worked","Manufacturing [BS3A]",17.5
1997,"Total compensation per hour worked","Service-producing businesses",14.13
1997,"Total compensation per hour worked","Energy sector",28.78
1997,"Total compensation per hour worked","Information and communication sector",22.53
1997,"Unit labour cost","All industries",0.447
1997,"Unit labour cost","Business sector industries",0.48
1997,"Unit labour cost","Goods-producing businesses",0.497
1997,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.542
1997,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.392
1997,"Unit labour cost","Utilities [BS22]",0.192
1997,"Unit labour cost","Construction [BS23]",0.469
1997,"Unit labour cost","Manufacturing [BS3A]",0.672
1997,"Unit labour cost","Service-producing businesses",0.473
1997,"Unit labour cost","Energy sector",0.184
1997,"Unit labour cost","Information and communication sector",0.426
1997,"Unit labour cost in US dollars","All industries",0.323
1997,"Unit labour cost in US dollars","Business sector industries",0.347
1997,"Unit labour cost in US dollars","Goods-producing businesses",0.359
1997,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.391
1997,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.283
1997,"Unit labour cost in US dollars","Utilities [BS22]",0.139
1997,"Unit labour cost in US dollars","Construction [BS23]",0.339
1997,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.485
1997,"Unit labour cost in US dollars","Service-producing businesses",0.341
1997,"Unit labour cost in US dollars","Energy sector",0.133
1997,"Unit labour cost in US dollars","Information and communication sector",0.308
1997,"Labour share","All industries",61.4
1997,"Labour share","Business sector industries",64.4
1997,"Labour share","Goods-producing businesses",70
1997,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",64.6
1997,"Labour share","Mining and oil and gas extraction [BS21]",51
1997,"Labour share","Utilities [BS22]",29.6
1997,"Labour share","Construction [BS23]",88.1
1997,"Labour share","Manufacturing [BS3A]",76.3
1997,"Labour share","Service-producing businesses",61.5
1997,"Labour share","Energy sector",31.8
1997,"Labour share","Information and communication sector",48.3
1997,"Total number of jobs","All industries",314000
1997,"Total number of jobs","Business sector industries",233350
1997,"Total number of jobs","Goods-producing businesses",67870
1997,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",15520
1997,"Total number of jobs","Mining and oil and gas extraction [BS21]",2595
1997,"Total number of jobs","Utilities [BS22]",3480
1997,"Total number of jobs","Construction [BS23]",17545
1997,"Total number of jobs","Manufacturing [BS3A]",28730
1997,"Total number of jobs","Service-producing businesses",165480
1997,"Total number of jobs","Energy sector",3950
1997,"Total number of jobs","Information and communication sector",6140
1997,"Hours worked for all jobs","All industries",585230.6
1997,"Hours worked for all jobs","Business sector industries",442241.9
1997,"Hours worked for all jobs","Goods-producing businesses",143159.1
1997,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",34224.3
1997,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",5664.5
1997,"Hours worked for all jobs","Utilities [BS22]",6677.6
1997,"Hours worked for all jobs","Construction [BS23]",37915.3
1997,"Hours worked for all jobs","Manufacturing [BS3A]",58677.4
1997,"Hours worked for all jobs","Service-producing businesses",299082.8
