"Year","GEO","Prices","Estimates","UOM","SCALAR_FACTOR","VALUE","GDP","Estimate_per_GDP"
1981,"Northwest Territories including Nunavut","Current prices","Residential structures","Dollars","millions",20,1053,1.9
1981,"Nova Scotia","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",2718,22460,12.1
1981,"Nova Scotia","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",11517,22460,51.3
1981,"Nova Scotia","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",22460,22460,100
1981,"Nova Scotia","Chained (2017) dollars","Intellectual property products","Dollars","millions",94,22460,0.4
1981,"Nova Scotia","Chained (2017) dollars","Machinery and equipment","Dollars","millions",494,22460,2.2
1981,"Nova Scotia","Chained (2017) dollars","Non-residential Investment","Dollars","millions",1587,22460,7
1981,"Nova Scotia","Chained (2017) dollars","Non-residential structures","Dollars","millions",1285,22460,5.7
1981,"Nova Scotia","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1493,22460,6.6
1981,"Nova Scotia","Chained (2017) dollars","Residential structures","Dollars","millions",1084,22460,4.8
1981,"Nova Scotia","Current prices","Business gross fixed capital formation","Dollars","millions",1611,8103,19.9
1981,"Nova Scotia","Current prices","General governments final consumption expenditure","Dollars","millions",3378,8103,41.7
1981,"Nova Scotia","Current prices","Gross domestic product at market prices","Dollars","millions",8103,8103,100
1981,"Nova Scotia","Current prices","Intellectual property products","Dollars","millions",65,8103,0.8
1981,"Nova Scotia","Current prices","Machinery and equipment","Dollars","millions",617,8103,7.6
1981,"Nova Scotia","Current prices","Non-residential Investment","Dollars","millions",1196,8103,14.8
1981,"Nova Scotia","Current prices","Non-residential structures","Dollars","millions",514,8103,6.3
1981,"Nova Scotia","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",1131,8103,14
1981,"Nova Scotia","Current prices","Residential structures","Dollars","millions",415,8103,5.1
1981,"Nunavut","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Intellectual property products","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Non-residential Investment","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Non-residential structures","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Nunavut","Chained (2017) dollars","Residential structures","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Intellectual property products","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Non-residential Investment","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Non-residential structures","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1981,"Nunavut","Current prices","Residential structures","Dollars","millions",NA,NA,NA
1981,"Ontario","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",47005,333886,14.1
1981,"Ontario","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",82372,333886,24.7
1981,"Ontario","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",333886,333886,100
1981,"Ontario","Chained (2017) dollars","Intellectual property products","Dollars","millions",2575,333886,0.8
1981,"Ontario","Chained (2017) dollars","Machinery and equipment","Dollars","millions",6804,333886,2
1981,"Ontario","Chained (2017) dollars","Non-residential Investment","Dollars","millions",19815,333886,6
1981,"Ontario","Chained (2017) dollars","Non-residential structures","Dollars","millions",15623,333886,4.7
1981,"Ontario","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",17240,333886,5.2
1981,"Ontario","Chained (2017) dollars","Residential structures","Dollars","millions",30166,333886,9
1981,"Ontario","Current prices","Business gross fixed capital formation","Dollars","millions",24035,132545,18.1
1981,"Ontario","Current prices","General governments final consumption expenditure","Dollars","millions",25915,132545,19.6
1981,"Ontario","Current prices","Gross domestic product at market prices","Dollars","millions",132545,132545,100
1981,"Ontario","Current prices","Intellectual property products","Dollars","millions",1346,132545,1
1981,"Ontario","Current prices","Machinery and equipment","Dollars","millions",9557,132545,7.2
1981,"Ontario","Current prices","Non-residential Investment","Dollars","millions",16651,132545,12.5
1981,"Ontario","Current prices","Non-residential structures","Dollars","millions",5748,132545,4.3
1981,"Ontario","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",15305,132545,11.5
1981,"Ontario","Current prices","Residential structures","Dollars","millions",7384,132545,5.6
1981,"Outside Canada","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",0,1381,0
1981,"Outside Canada","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",1500,1381,108.6
1981,"Outside Canada","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",1381,1381,100
1981,"Outside Canada","Chained (2017) dollars","Intellectual property products","Dollars","millions",0,1381,0
1981,"Outside Canada","Chained (2017) dollars","Machinery and equipment","Dollars","millions",NA,1381,NA
1981,"Outside Canada","Chained (2017) dollars","Non-residential Investment","Dollars","millions",0,1381,0
1981,"Outside Canada","Chained (2017) dollars","Non-residential structures","Dollars","millions",NA,1381,NA
1981,"Outside Canada","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",0,1381,0
1981,"Outside Canada","Chained (2017) dollars","Residential structures","Dollars","millions",0,1381,0
1981,"Outside Canada","Current prices","Business gross fixed capital formation","Dollars","millions",0,338,0
1981,"Outside Canada","Current prices","General governments final consumption expenditure","Dollars","millions",474,338,140.2
1981,"Outside Canada","Current prices","Gross domestic product at market prices","Dollars","millions",338,338,100
1981,"Outside Canada","Current prices","Intellectual property products","Dollars","millions",0,338,0
1981,"Outside Canada","Current prices","Machinery and equipment","Dollars","millions",0,338,0
1981,"Outside Canada","Current prices","Non-residential Investment","Dollars","millions",0,338,0
1981,"Outside Canada","Current prices","Non-residential structures","Dollars","millions",0,338,0
1981,"Outside Canada","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",0,338,0
1981,"Outside Canada","Current prices","Residential structures","Dollars","millions",0,338,0
1981,"Prince Edward Island","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",204,2912,7
1981,"Prince Edward Island","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",1218,2912,41.8
1981,"Prince Edward Island","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",2912,2912,100
1981,"Prince Edward Island","Chained (2017) dollars","Intellectual property products","Dollars","millions",2,2912,0.1
1981,"Prince Edward Island","Chained (2017) dollars","Machinery and equipment","Dollars","millions",44,2912,1.5
1981,"Prince Edward Island","Chained (2017) dollars","Non-residential Investment","Dollars","millions",105,2912,3.6
1981,"Prince Edward Island","Chained (2017) dollars","Non-residential structures","Dollars","millions",73,2912,2.5
1981,"Prince Edward Island","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",103,2912,3.5
1981,"Prince Edward Island","Chained (2017) dollars","Residential structures","Dollars","millions",96,2912,3.3
1981,"Prince Edward Island","Current prices","Business gross fixed capital formation","Dollars","millions",130,1074,12.1
1981,"Prince Edward Island","Current prices","General governments final consumption expenditure","Dollars","millions",373,1074,34.7
1981,"Prince Edward Island","Current prices","Gross domestic product at market prices","Dollars","millions",1074,1074,100
1981,"Prince Edward Island","Current prices","Intellectual property products","Dollars","millions",1,1074,0.1
1981,"Prince Edward Island","Current prices","Machinery and equipment","Dollars","millions",55,1074,5.1
1981,"Prince Edward Island","Current prices","Non-residential Investment","Dollars","millions",86,1074,8
1981,"Prince Edward Island","Current prices","Non-residential structures","Dollars","millions",30,1074,2.8
1981,"Prince Edward Island","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",85,1074,7.9
1981,"Prince Edward Island","Current prices","Residential structures","Dollars","millions",44,1074,4.1
1981,"Quebec","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",23567,212900,11.1
1981,"Quebec","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",63365,212900,29.8
1981,"Quebec","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",212900,212900,100
1981,"Quebec","Chained (2017) dollars","Intellectual property products","Dollars","millions",1237,212900,0.6
1981,"Quebec","Chained (2017) dollars","Machinery and equipment","Dollars","millions",3365,212900,1.6
1981,"Quebec","Chained (2017) dollars","Non-residential Investment","Dollars","millions",11423,212900,5.4
1981,"Quebec","Chained (2017) dollars","Non-residential structures","Dollars","millions",9981,212900,4.7
1981,"Quebec","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",10186,212900,4.8
1981,"Quebec","Chained (2017) dollars","Residential structures","Dollars","millions",12287,212900,5.8
1981,"Quebec","Current prices","Business gross fixed capital formation","Dollars","millions",13623,82671,16.5
1981,"Quebec","Current prices","General governments final consumption expenditure","Dollars","millions",21302,82671,25.8
1981,"Quebec","Current prices","Gross domestic product at market prices","Dollars","millions",82671,82671,100
1981,"Quebec","Current prices","Intellectual property products","Dollars","millions",617,82671,0.7
1981,"Quebec","Current prices","Machinery and equipment","Dollars","millions",4822,82671,5.8
1981,"Quebec","Current prices","Non-residential Investment","Dollars","millions",9606,82671,11.6
1981,"Quebec","Current prices","Non-residential structures","Dollars","millions",4167,82671,5
1981,"Quebec","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",8989,82671,10.9
1981,"Quebec","Current prices","Residential structures","Dollars","millions",4017,82671,4.9
1981,"Saskatchewan","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",7249,39106,18.5
1981,"Saskatchewan","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",11026,39106,28.2
1981,"Saskatchewan","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",39106,39106,100
1981,"Saskatchewan","Chained (2017) dollars","Intellectual property products","Dollars","millions",237,39106,0.6
1981,"Saskatchewan","Chained (2017) dollars","Machinery and equipment","Dollars","millions",1456,39106,3.7
1981,"Saskatchewan","Chained (2017) dollars","Non-residential Investment","Dollars","millions",5243,39106,13.4
1981,"Saskatchewan","Chained (2017) dollars","Non-residential structures","Dollars","millions",3712,39106,9.5
1981,"Saskatchewan","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",5006,39106,12.8
1981,"Saskatchewan","Chained (2017) dollars","Residential structures","Dollars","millions",2110,39106,5.4
1981,"Saskatchewan","Current prices","Business gross fixed capital formation","Dollars","millions",3796,15117,25.1
1981,"Saskatchewan","Current prices","General governments final consumption expenditure","Dollars","millions",3044,15117,20.1
1981,"Saskatchewan","Current prices","Gross domestic product at market prices","Dollars","millions",15117,15117,100
1981,"Saskatchewan","Current prices","Intellectual property products","Dollars","millions",117,15117,0.8
1981,"Saskatchewan","Current prices","Machinery and equipment","Dollars","millions",1640,15117,10.8
1981,"Saskatchewan","Current prices","Non-residential Investment","Dollars","millions",3119,15117,20.7
1981,"Saskatchewan","Current prices","Non-residential structures","Dollars","millions",1362,15117,9
1981,"Saskatchewan","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",3002,15117,19.9
1981,"Saskatchewan","Current prices","Residential structures","Dollars","millions",677,15117,4.5
1981,"Yukon","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",414,973,42.5
1981,"Yukon","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",562,973,57.8
1981,"Yukon","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",973,973,100
1981,"Yukon","Chained (2017) dollars","Intellectual property products","Dollars","millions",97,973,10
1981,"Yukon","Chained (2017) dollars","Machinery and equipment","Dollars","millions",31,973,3.2
1981,"Yukon","Chained (2017) dollars","Non-residential Investment","Dollars","millions",297,973,30.6
1981,"Yukon","Chained (2017) dollars","Non-residential structures","Dollars","millions",278,973,28.6
1981,"Yukon","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",200,973,20.6
1981,"Yukon","Chained (2017) dollars","Residential structures","Dollars","millions",70,973,7.2
1981,"Yukon","Current prices","Business gross fixed capital formation","Dollars","millions",212,501,42.3
1981,"Yukon","Current prices","General governments final consumption expenditure","Dollars","millions",188,501,37.5
1981,"Yukon","Current prices","Gross domestic product at market prices","Dollars","millions",501,501,100
1981,"Yukon","Current prices","Intellectual property products","Dollars","millions",44,501,8.8
1981,"Yukon","Current prices","Machinery and equipment","Dollars","millions",42,501,8.4
1981,"Yukon","Current prices","Non-residential Investment","Dollars","millions",187,501,37.3
1981,"Yukon","Current prices","Non-residential structures","Dollars","millions",101,501,20.2
1981,"Yukon","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",143,501,28.5
1981,"Yukon","Current prices","Residential structures","Dollars","millions",25,501,5
1982,"Alberta","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",29290,118052,24.8
1982,"Alberta","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",26571,118052,22.5
1982,"Alberta","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",118052,118052,100
1982,"Alberta","Chained (2017) dollars","Intellectual property products","Dollars","millions",2158,118052,1.8
1982,"Alberta","Chained (2017) dollars","Machinery and equipment","Dollars","millions",2983,118052,2.5
1982,"Alberta","Chained (2017) dollars","Non-residential Investment","Dollars","millions",21385,118052,18.1
1982,"Alberta","Chained (2017) dollars","Non-residential structures","Dollars","millions",21172,118052,17.9
1982,"Alberta","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",19227,118052,16.3
1982,"Alberta","Chained (2017) dollars","Residential structures","Dollars","millions",7932,118052,6.7
1982,"Alberta","Current prices","Business gross fixed capital formation","Dollars","millions",15079,58434,25.8
