"Year","GEO","Tenure","Statistics","UOM","VALUE"
2018,"Large urban population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of households","Percent",5.3
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Number of persons in core housing need","Number",2700
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of persons","Number",1627
2018,"Large urban population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, number of persons","Number",4019
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Percentage of persons in core housing need","Percent",1.9
2018,"Large urban population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of persons","Percent",1.2
2018,"Large urban population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of persons","Percent",2.9
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of households in core housing need","Number",0
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",100
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",50
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",191
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",NA
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",1900
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",1167
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",2674
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",4.1
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",2.8
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",6
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",2600
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",1516
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",3916
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",2.1
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",1.4
2018,"Large urban population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",3.3
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Number of households in core housing need","Number",5800
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of households","Number",4581
2018,"Large urban population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, number of households","Number",6726
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Percentage of households in core housing need","Percent",26
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of households","Percent",22
2018,"Large urban population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of households","Percent",31
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Number of persons in core housing need","Number",10400
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of persons","Number",7801
2018,"Large urban population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, number of persons","Number",12424
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Percentage of persons in core housing need","Percent",23
2018,"Large urban population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of persons","Percent",18.3
2018,"Large urban population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of persons","Percent",28
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Number of households in core housing need","Number",4100
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",3181
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",5170
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",23
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",18.3
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",28
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Number of persons in core housing need","Number",7600
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",5572
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",9973
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",20
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",15.4
2018,"Large urban population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",27
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Number of households in core housing need","Number",1700
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",1110
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",1844
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of households in core housing need","Percent",38
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",31
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",45
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Number of persons in core housing need","Number",2800
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",1754
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",3150
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",33
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",26
2018,"Large urban population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",42
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Number of households in core housing need","Number",5500
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of households","Number",4412
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of households","Number",6590
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Percentage of households in core housing need","Percent",8.8
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of households","Percent",7.2
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of households","Percent",10.7
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Number of persons in core housing need","Number",7900
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of persons","Number",6157
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of persons","Number",9727
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Percentage of persons in core housing need","Percent",5.6
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",4.5
2018,"Small population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of persons","Percent",7
2018,"Small population centres, Newfoundland and Labrador","Owner","Number of households in core housing need","Number",1000
2018,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of households","Number",406
2018,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, number of households","Number",1700
2018,"Small population centres, Newfoundland and Labrador","Owner","Percentage of households in core housing need","Percent",2.2
2018,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of households","Percent",1.2
2018,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of households","Percent",4.1
2018,"Small population centres, Newfoundland and Labrador","Owner","Number of persons in core housing need","Number",1200
2018,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of persons","Number",508
2018,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, number of persons","Number",2004
2018,"Small population centres, Newfoundland and Labrador","Owner","Percentage of persons in core housing need","Percent",1.1
2018,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of persons","Percent",0.6
2018,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of persons","Percent",2
2018,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of households in core housing need","Number",0
2018,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",NA
2018,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",NA
2018,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2018,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2018,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
