"Year","GEO","VALUE"
2002,"Lethbridge, Alberta [48810]",NA
2002,"Calgary, Alberta [48825]",0
2002,"Edmonton, Alberta [48835]",0
2002,"British Columbia [59]",668.18
2002,"Kelowna, British Columbia [59915]",NA
2002,"Abbotsford-Mission, British Columbia [59932]",0
2002,"Vancouver, British Columbia [59933]",0
2002,"Victoria, British Columbia [59935]",0
2002,"Yukon [60]",1959.26
2002,"Northwest Territories [61]",3262.78
2002,"Nunavut [62]",5286.3
2002,"Canadian Forces Military Police [99001]",NA
2003,"Canada",630.99
2003,"Newfoundland and Labrador [10]",570.96
2003,"St. John's, Newfoundland and Labrador [10001]",0
2003,"Prince Edward Island [11]",529.4
2003,"Nova Scotia [12]",770.26
2003,"Halifax, Nova Scotia [12205]",0
2003,"New Brunswick [13]",518.78
2003,"Moncton, New Brunswick [13305]",NA
2003,"Saint John, New Brunswick [13310]",0
2003,"Quebec [24]",530.84
2003,"Saguenay, Quebec [24408]",0
2003,"Québec, Quebec [24421]",0
2003,"Sherbrooke, Quebec [24433]",0
2003,"Trois-Rivières, Quebec [24442]",0
2003,"Montréal, Quebec [24462]",0
2003,"Ottawa-Gatineau, Quebec part [24505]",0
2003,"Ontario [35]",557.86
2003,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",0
2003,"Ottawa-Gatineau, Ontario part [35505]",0
2003,"Kingston, Ontario [35521]",0
2003,"Belleville, Ontario [35522]",NA
2003,"Peterborough, Ontario [35529]",NA
2003,"Toronto, Ontario [35535]",0
2003,"Hamilton, Ontario [35537]",0
2003,"St. Catharines-Niagara, Ontario [35539]",0
2003,"Kitchener-Cambridge-Waterloo, Ontario [35541]",0
2003,"Brantford, Ontario [35543]",NA
2003,"Guelph, Ontario [35550]",NA
2003,"London, Ontario [35555]",0
2003,"Windsor, Ontario [35559]",0
2003,"Barrie, Ontario [35568]",NA
2003,"Greater Sudbury, Ontario [35580]",0
2003,"Thunder Bay, Ontario [35595]",0
2003,"Manitoba [46]",1218.43
2003,"Winnipeg, Manitoba [46602]",0
2003,"Saskatchewan [47]",1302.46
2003,"Regina, Saskatchewan [47705]",0
2003,"Saskatoon, Saskatchewan [47725]",0
2003,"Alberta [48]",668.53
2003,"Lethbridge, Alberta [48810]",NA
2003,"Calgary, Alberta [48825]",0
2003,"Edmonton, Alberta [48835]",0
2003,"British Columbia [59]",613.18
2003,"Kelowna, British Columbia [59915]",NA
2003,"Abbotsford-Mission, British Columbia [59932]",0
2003,"Vancouver, British Columbia [59933]",0
2003,"Victoria, British Columbia [59935]",0
2003,"Yukon [60]",1731.93
2003,"Northwest Territories [61]",3506.77
2003,"Nunavut [62]",5724.48
2003,"Canadian Forces Military Police [99001]",NA
2004,"Canada",615.53
2004,"Newfoundland and Labrador [10]",498.68
2004,"St. John's, Newfoundland and Labrador [10001]",403.8
2004,"Prince Edward Island [11]",453.49
2004,"Nova Scotia [12]",727.19
2004,"Halifax, Nova Scotia [12205]",682.63
2004,"New Brunswick [13]",500.06
2004,"Moncton, New Brunswick [13305]",NA
2004,"Saint John, New Brunswick [13310]",463.55
2004,"Quebec [24]",512.92
2004,"Saguenay, Quebec [24408]",356.73
2004,"Québec, Quebec [24421]",283.72
2004,"Sherbrooke, Quebec [24433]",418.68
2004,"Trois-Rivières, Quebec [24442]",411.63
2004,"Montréal, Quebec [24462]",592.29
2004,"Ottawa-Gatineau, Quebec part [24505]",582.65
2004,"Ontario [35]",556.52
2004,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",500.48
2004,"Ottawa-Gatineau, Ontario part [35505]",474.44
2004,"Kingston, Ontario [35521]",518.44
2004,"Belleville, Ontario [35522]",NA
2004,"Peterborough, Ontario [35529]",NA
2004,"Toronto, Ontario [35535]",516.58
2004,"Hamilton, Ontario [35537]",353.59
2004,"St. Catharines-Niagara, Ontario [35539]",448.47
2004,"Kitchener-Cambridge-Waterloo, Ontario [35541]",510.3
2004,"Brantford, Ontario [35543]",NA
2004,"Guelph, Ontario [35550]",NA
2004,"London, Ontario [35555]",622.21
2004,"Windsor, Ontario [35559]",527.02
2004,"Barrie, Ontario [35568]",NA
2004,"Greater Sudbury, Ontario [35580]",729.11
2004,"Thunder Bay, Ontario [35595]",1021.13
2004,"Manitoba [46]",1192.63
2004,"Winnipeg, Manitoba [46602]",880.59
2004,"Saskatchewan [47]",1241.69
2004,"Regina, Saskatchewan [47705]",1254.04
2004,"Saskatoon, Saskatchewan [47725]",977.81
2004,"Alberta [48]",659.83
2004,"Lethbridge, Alberta [48810]",NA
2004,"Calgary, Alberta [48825]",526.3
2004,"Edmonton, Alberta [48835]",514.57
2004,"British Columbia [59]",583.21
2004,"Kelowna, British Columbia [59915]",NA
2004,"Abbotsford-Mission, British Columbia [59932]",658.07
2004,"Vancouver, British Columbia [59933]",431.86
2004,"Victoria, British Columbia [59935]",475.54
2004,"Yukon [60]",1718.69
2004,"Northwest Territories [61]",3488.14
2004,"Nunavut [62]",6095.25
2004,"Canadian Forces Military Police [99001]",NA
2005,"Canada",620.22
2005,"Newfoundland and Labrador [10]",474.74
2005,"St. John's, Newfoundland and Labrador [10001]",455.83
2005,"Prince Edward Island [11]",462.2
2005,"Nova Scotia [12]",664.68
2005,"Halifax, Nova Scotia [12205]",688.37
2005,"New Brunswick [13]",499.24
2005,"Moncton, New Brunswick [13305]",NA
2005,"Saint John, New Brunswick [13310]",567.24
2005,"Quebec [24]",520.42
2005,"Saguenay, Quebec [24408]",296.31
2005,"Québec, Quebec [24421]",331.17
2005,"Sherbrooke, Quebec [24433]",504.72
2005,"Trois-Rivières, Quebec [24442]",456.85
2005,"Montréal, Quebec [24462]",587.6
2005,"Ottawa-Gatineau, Quebec part [24505]",569.12
2005,"Ontario [35]",578.82
2005,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",451.65
2005,"Ottawa-Gatineau, Ontario part [35505]",414.17
2005,"Kingston, Ontario [35521]",504.61
2005,"Belleville, Ontario [35522]",NA
2005,"Peterborough, Ontario [35529]",NA
2005,"Toronto, Ontario [35535]",582.2
2005,"Hamilton, Ontario [35537]",346.26
2005,"St. Catharines-Niagara, Ontario [35539]",421.04
2005,"Kitchener-Cambridge-Waterloo, Ontario [35541]",500.23
2005,"Brantford, Ontario [35543]",NA
2005,"Guelph, Ontario [35550]",NA
2005,"London, Ontario [35555]",632.59
2005,"Windsor, Ontario [35559]",512.4
2005,"Barrie, Ontario [35568]",NA
2005,"Greater Sudbury, Ontario [35580]",653.98
2005,"Thunder Bay, Ontario [35595]",958.43
2005,"Manitoba [46]",1057.56
2005,"Winnipeg, Manitoba [46602]",753.81
2005,"Saskatchewan [47]",1225.01
2005,"Regina, Saskatchewan [47705]",1249.79
2005,"Saskatoon, Saskatchewan [47725]",901.99
2005,"Alberta [48]",679.15
2005,"Lethbridge, Alberta [48810]",NA
2005,"Calgary, Alberta [48825]",536.81
2005,"Edmonton, Alberta [48835]",507.59
2005,"British Columbia [59]",591.07
2005,"Kelowna, British Columbia [59915]",NA
2005,"Abbotsford-Mission, British Columbia [59932]",592.5
2005,"Vancouver, British Columbia [59933]",437.75
2005,"Victoria, British Columbia [59935]",480.76
2005,"Yukon [60]",1564.16
2005,"Northwest Territories [61]",3236.12
2005,"Nunavut [62]",5517.27
2005,"Canadian Forces Military Police [99001]",NA
2006,"Canada",623.73
2006,"Newfoundland and Labrador [10]",476.8
2006,"St. John's, Newfoundland and Labrador [10001]",395.47
2006,"Prince Edward Island [11]",525.43
2006,"Nova Scotia [12]",686.88
2006,"Halifax, Nova Scotia [12205]",708.21
2006,"New Brunswick [13]",496.53
2006,"Moncton, New Brunswick [13305]",460.14
2006,"Saint John, New Brunswick [13310]",524.42
2006,"Quebec [24]",520.14
2006,"Saguenay, Quebec [24408]",416.53
2006,"Québec, Quebec [24421]",382.77
2006,"Sherbrooke, Quebec [24433]",461.39
2006,"Trois-Rivières, Quebec [24442]",426.99
2006,"Montréal, Quebec [24462]",582.73
2006,"Ottawa-Gatineau, Quebec part [24505]",610.34
2006,"Ontario [35]",575.12
2006,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",435.61
2006,"Ottawa-Gatineau, Ontario part [35505]",379.5
2006,"Kingston, Ontario [35521]",526.69
2006,"Belleville, Ontario [35522]",NA
2006,"Peterborough, Ontario [35529]",706.77
2006,"Toronto, Ontario [35535]",558.31
2006,"Hamilton, Ontario [35537]",352.48
2006,"St. Catharines-Niagara, Ontario [35539]",428.97
2006,"Kitchener-Cambridge-Waterloo, Ontario [35541]",583.3
2006,"Brantford, Ontario [35543]",929.77
2006,"Guelph, Ontario [35550]",529.14
2006,"London, Ontario [35555]",636.94
2006,"Windsor, Ontario [35559]",550.16
2006,"Barrie, Ontario [35568]",562.73
2006,"Greater Sudbury, Ontario [35580]",728.33
2006,"Thunder Bay, Ontario [35595]",1026.51
2006,"Manitoba [46]",1015.81
2006,"Winnipeg, Manitoba [46602]",755.16
2006,"Saskatchewan [47]",1192.75
2006,"Regina, Saskatchewan [47705]",1219.76
2006,"Saskatoon, Saskatchewan [47725]",947.08
2006,"Alberta [48]",723.03
2006,"Lethbridge, Alberta [48810]",NA
2006,"Calgary, Alberta [48825]",502.73
2006,"Edmonton, Alberta [48835]",520.5
2006,"British Columbia [59]",610.13
2006,"Kelowna, British Columbia [59915]",533.35
2006,"Abbotsford-Mission, British Columbia [59932]",668.49
2006,"Vancouver, British Columbia [59933]",446.68
2006,"Victoria, British Columbia [59935]",466
2006,"Yukon [60]",1628.48
2006,"Northwest Territories [61]",2792.4
2006,"Nunavut [62]",5589.68
2006,"Canadian Forces Military Police [99001]",NA
2007,"Canada",610.93
2007,"Newfoundland and Labrador [10]",536.37
2007,"St. John's, Newfoundland and Labrador [10001]",422.11
2007,"Prince Edward Island [11]",498.22
2007,"Nova Scotia [12]",699.93
2007,"Halifax, Nova Scotia [12205]",736.68
2007,"New Brunswick [13]",524.45
2007,"Moncton, New Brunswick [13305]",546.17
2007,"Saint John, New Brunswick [13310]",481.83
2007,"Quebec [24]",467.15
2007,"Saguenay, Quebec [24408]",444.6
2007,"Québec, Quebec [24421]",76.73
2007,"Sherbrooke, Quebec [24433]",392.09
2007,"Trois-Rivières, Quebec [24442]",449.21
2007,"Montréal, Quebec [24462]",542.4
2007,"Ottawa-Gatineau, Quebec part [24505]",529.83
2007,"Ontario [35]",563.74
2007,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",420.53
2007,"Ottawa-Gatineau, Ontario part [35505]",385.21
2007,"Kingston, Ontario [35521]",527.82
2007,"Belleville, Ontario [35522]",NA
2007,"Peterborough, Ontario [35529]",608.45
2007,"Toronto, Ontario [35535]",547.42
2007,"Hamilton, Ontario [35537]",359.6
2007,"St. Catharines-Niagara, Ontario [35539]",400.81
2007,"Kitchener-Cambridge-Waterloo, Ontario [35541]",490.87
2007,"Brantford, Ontario [35543]",889.61
2007,"Guelph, Ontario [35550]",538.74
2007,"London, Ontario [35555]",630.85
2007,"Windsor, Ontario [35559]",525.09
2007,"Barrie, Ontario [35568]",525.09
2007,"Greater Sudbury, Ontario [35580]",774.29
2007,"Thunder Bay, Ontario [35595]",1024.41
2007,"Manitoba [46]",1059.84
2007,"Winnipeg, Manitoba [46602]",777.15
2007,"Saskatchewan [47]",1242.6
2007,"Regina, Saskatchewan [47705]",1227.49
2007,"Saskatoon, Saskatchewan [47725]",978.11
2007,"Alberta [48]",690.78
2007,"Lethbridge, Alberta [48810]",NA
2007,"Calgary, Alberta [48825]",424.95
2007,"Edmonton, Alberta [48835]",518.11
2007,"British Columbia [59]",619.5
2007,"Kelowna, British Columbia [59915]",579.92
2007,"Abbotsford-Mission, British Columbia [59932]",646.44
2007,"Vancouver, British Columbia [59933]",465.93
2007,"Victoria, British Columbia [59935]",438.81
2007,"Yukon [60]",1618.87
2007,"Northwest Territories [61]",3191.64
2007,"Nunavut [62]",6417.94
2007,"Canadian Forces Military Police [99001]",NA
2008,"Canada",605.95
2008,"Newfoundland and Labrador [10]",564.96
2008,"St. John's, Newfoundland and Labrador [10001]",487.88
2008,"Prince Edward Island [11]",418.24
2008,"Nova Scotia [12]",722.09
2008,"Halifax, Nova Scotia [12205]",712.34
2008,"New Brunswick [13]",583.28
2008,"Moncton, New Brunswick [13305]",623.07
2008,"Saint John, New Brunswick [13310]",472.03
2008,"Quebec [24]",459.68
2008,"Saguenay, Quebec [24408]",441.97
2008,"Québec, Quebec [24421]",85.38
2008,"Sherbrooke, Quebec [24433]",325.22
2008,"Trois-Rivières, Quebec [24442]",459.1
2008,"Montréal, Quebec [24462]",520.65
2008,"Ottawa-Gatineau, Quebec part [24505]",570.51
2008,"Ontario [35]",553.83
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",428.23
2008,"Ottawa-Gatineau, Ontario part [35505]",382.25
2008,"Kingston, Ontario [35521]",492.92
2008,"Belleville, Ontario [35522]",NA
2008,"Peterborough, Ontario [35529]",607.04
2008,"Toronto, Ontario [35535]",535.96
2008,"Hamilton, Ontario [35537]",365.34
2008,"St. Catharines-Niagara, Ontario [35539]",462.48
2008,"Kitchener-Cambridge-Waterloo, Ontario [35541]",478.52
2008,"Brantford, Ontario [35543]",815.27
2008,"Guelph, Ontario [35550]",483.35
2008,"London, Ontario [35555]",641.47
2008,"Windsor, Ontario [35559]",506.89
2008,"Barrie, Ontario [35568]",528.66
2008,"Greater Sudbury, Ontario [35580]",743.23
2008,"Thunder Bay, Ontario [35595]",1015.71
2008,"Manitoba [46]",1014.21
2008,"Winnipeg, Manitoba [46602]",727.58
2008,"Saskatchewan [47]",1169.79
2008,"Regina, Saskatchewan [47705]",1173.21
2008,"Saskatoon, Saskatchewan [47725]",874.77
2008,"Alberta [48]",718.91
2008,"Lethbridge, Alberta [48810]",NA
2008,"Calgary, Alberta [48825]",440.07
2008,"Edmonton, Alberta [48835]",579.56
2008,"British Columbia [59]",609.03
2008,"Kelowna, British Columbia [59915]",584.88
2008,"Abbotsford-Mission, British Columbia [59932]",666.33
2008,"Vancouver, British Columbia [59933]",466.63
2008,"Victoria, British Columbia [59935]",447.41
2008,"Yukon [60]",1628.91
2008,"Northwest Territories [61]",3531.38
2008,"Nunavut [62]",6547.87
2008,"Canadian Forces Military Police [99001]",NA
2009,"Canada",611.56
2009,"Newfoundland and Labrador [10]",572.23
2009,"St. John's, Newfoundland and Labrador [10001]",515.89
2009,"Prince Edward Island [11]",420.02
2009,"Nova Scotia [12]",689.63
2009,"Halifax, Nova Scotia [12205]",612.76
2009,"New Brunswick [13]",597.77
2009,"Moncton, New Brunswick [13305]",619.66
2009,"Saint John, New Brunswick [13310]",470.02
2009,"Quebec [24]",485.8
2009,"Saguenay, Quebec [24408]",482.87
2009,"Québec, Quebec [24421]",329.5
2009,"Sherbrooke, Quebec [24433]",567.85
2009,"Trois-Rivières, Quebec [24442]",381.14
2009,"Montréal, Quebec [24462]",517.93
2009,"Ottawa-Gatineau, Quebec part [24505]",532.1
2009,"Ontario [35]",545.55
2009,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",407.07
2009,"Ottawa-Gatineau, Ontario part [35505]",366.44
2009,"Kingston, Ontario [35521]",554.38
2009,"Belleville, Ontario [35522]",NA
2009,"Peterborough, Ontario [35529]",574.16
2009,"Toronto, Ontario [35535]",511.35
2009,"Hamilton, Ontario [35537]",396.75
2009,"St. Catharines-Niagara, Ontario [35539]",445.8
2009,"Kitchener-Cambridge-Waterloo, Ontario [35541]",466.73
2009,"Brantford, Ontario [35543]",883.76
2009,"Guelph, Ontario [35550]",523.41
2009,"London, Ontario [35555]",647.28
2009,"Windsor, Ontario [35559]",522.6
2009,"Barrie, Ontario [35568]",575.68
2009,"Greater Sudbury, Ontario [35580]",713.47
2009,"Thunder Bay, Ontario [35595]",1072.17
2009,"Manitoba [46]",1084.39
2009,"Winnipeg, Manitoba [46602]",770.83
2009,"Saskatchewan [47]",1147.51
2009,"Regina, Saskatchewan [47705]",1170.39
2009,"Saskatoon, Saskatchewan [47725]",830.1
2009,"Alberta [48]",714.5
2009,"Lethbridge, Alberta [48810]",NA
2009,"Calgary, Alberta [48825]",418.23
2009,"Edmonton, Alberta [48835]",569.63
2009,"British Columbia [59]",615.16
2009,"Kelowna, British Columbia [59915]",609.37
2009,"Abbotsford-Mission, British Columbia [59932]",616.39
2009,"Vancouver, British Columbia [59933]",460.54
2009,"Victoria, British Columbia [59935]",525.5
2009,"Yukon [60]",1971.14
2009,"Northwest Territories [61]",3913.57
2009,"Nunavut [62]",6485.5
2009,"Canadian Forces Military Police [99001]",NA
2010,"Canada",600.2
2010,"Newfoundland and Labrador [10]",560.75
2010,"St. John's, Newfoundland and Labrador [10001]",515.75
2010,"Prince Edward Island [11]",425.48
2010,"Nova Scotia [12]",659.36
2010,"Halifax, Nova Scotia [12205]",623.78
2010,"New Brunswick [13]",610.24
2010,"Moncton, New Brunswick [13305]",608.51
2010,"Saint John, New Brunswick [13310]",459.46
2010,"Quebec [24]",476.47
2010,"Saguenay, Quebec [24408]",494.31
2010,"Québec, Quebec [24421]",318.99
2010,"Sherbrooke, Quebec [24433]",436.49
2010,"Trois-Rivières, Quebec [24442]",424.41
2010,"Montréal, Quebec [24462]",501.47
2010,"Ottawa-Gatineau, Quebec part [24505]",495.58
2010,"Ontario [35]",521.94
2010,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",374.12
2010,"Ottawa-Gatineau, Ontario part [35505]",334.26
2010,"Kingston, Ontario [35521]",461.8
2010,"Belleville, Ontario [35522]",NA
2010,"Peterborough, Ontario [35529]",501.16
2010,"Toronto, Ontario [35535]",485.12
2010,"Hamilton, Ontario [35537]",406.02
2010,"St. Catharines-Niagara, Ontario [35539]",423.35
2010,"Kitchener-Cambridge-Waterloo, Ontario [35541]",459.52
2010,"Brantford, Ontario [35543]",902.44
2010,"Guelph, Ontario [35550]",554.83
2010,"London, Ontario [35555]",665.93
2010,"Windsor, Ontario [35559]",503.5
2010,"Barrie, Ontario [35568]",493.42
2010,"Greater Sudbury, Ontario [35580]",715.3
2010,"Thunder Bay, Ontario [35595]",995.56
2010,"Manitoba [46]",1146.7
2010,"Winnipeg, Manitoba [46602]",771.66
2010,"Saskatchewan [47]",1160.01
2010,"Regina, Saskatchewan [47705]",1121.38
2010,"Saskatoon, Saskatchewan [47725]",824.66
2010,"Alberta [48]",693.66
2010,"Lethbridge, Alberta [48810]",NA
2010,"Calgary, Alberta [48825]",396.68
2010,"Edmonton, Alberta [48835]",568.6
2010,"British Columbia [59]",617.15
2010,"Kelowna, British Columbia [59915]",611.03
2010,"Abbotsford-Mission, British Columbia [59932]",644.45
2010,"Vancouver, British Columbia [59933]",467.57
2010,"Victoria, British Columbia [59935]",550.58
2010,"Yukon [60]",1709.12
2010,"Northwest Territories [61]",3989.64
2010,"Nunavut [62]",6693.12
2010,"Canadian Forces Military Police [99001]",NA
2011,"Canada",569.13
2011,"Newfoundland and Labrador [10]",542.58
2011,"St. John's, Newfoundland and Labrador [10001]",449.05
2011,"Prince Edward Island [11]",371.52
2011,"Nova Scotia [12]",632.69
2011,"Halifax, Nova Scotia [12205]",630.82
2011,"New Brunswick [13]",573.58
2011,"Moncton, New Brunswick [13305]",652.42
2011,"Saint John, New Brunswick [13310]",457.62
2011,"Quebec [24]",450.32
2011,"Saguenay, Quebec [24408]",417.08
2011,"Québec, Quebec [24421]",322.59
2011,"Sherbrooke, Quebec [24433]",384.8
2011,"Trois-Rivières, Quebec [24442]",408.51
2011,"Montréal, Quebec [24462]",487.1
2011,"Ottawa-Gatineau, Quebec part [24505]",556.16
2011,"Ontario [35]",502.87
2011,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",356.68
2011,"Ottawa-Gatineau, Ontario part [35505]",291
2011,"Kingston, Ontario [35521]",452.33
2011,"Belleville, Ontario [35522]",NA
2011,"Peterborough, Ontario [35529]",530.86
2011,"Toronto, Ontario [35535]",473.44
2011,"Hamilton, Ontario [35537]",409.19
2011,"St. Catharines-Niagara, Ontario [35539]",421.73
2011,"Kitchener-Cambridge-Waterloo, Ontario [35541]",440.64
2011,"Brantford, Ontario [35543]",769.81
2011,"Guelph, Ontario [35550]",475.11
2011,"London, Ontario [35555]",592.9
2011,"Windsor, Ontario [35559]",495.54
2011,"Barrie, Ontario [35568]",424.46
2011,"Greater Sudbury, Ontario [35580]",735.04
2011,"Thunder Bay, Ontario [35595]",932.02
2011,"Manitoba [46]",1069.41
2011,"Winnipeg, Manitoba [46602]",707.07
2011,"Saskatchewan [47]",1061.38
2011,"Regina, Saskatchewan [47705]",1013.09
2011,"Saskatoon, Saskatchewan [47725]",839.82
2011,"Alberta [48]",658.49
2011,"Lethbridge, Alberta [48810]",NA
2011,"Calgary, Alberta [48825]",373.25
2011,"Edmonton, Alberta [48835]",570.69
2011,"British Columbia [59]",579.41
2011,"Kelowna, British Columbia [59915]",575.7
2011,"Abbotsford-Mission, British Columbia [59932]",570.8
2011,"Vancouver, British Columbia [59933]",446.09
2011,"Victoria, British Columbia [59935]",455.7
2011,"Yukon [60]",1779.2
2011,"Northwest Territories [61]",3638.48
2011,"Nunavut [62]",5771.44
2011,"Canadian Forces Military Police [99001]",NA
2012,"Canada",559.51
2012,"Newfoundland and Labrador [10]",567.73
2012,"St. John's, Newfoundland and Labrador [10001]",516.06
2012,"Prince Edward Island [11]",461.21
2012,"Nova Scotia [12]",595.42
2012,"Halifax, Nova Scotia [12205]",555.02
2012,"New Brunswick [13]",564.54
2012,"Moncton, New Brunswick [13305]",571.07
2012,"Saint John, New Brunswick [13310]",536.09
2012,"Quebec [24]",466.96
