"Year","GEO","Industry","Measure","VALUE"
2015,"British Columbia ","Information and cultural industries [51]","Opening businesses",106
2015,"British Columbia ","Information and cultural industries [51]","Continuing businesses",1763
2015,"British Columbia ","Information and cultural industries [51]","Closing businesses",77
2015,"British Columbia ","Information and cultural industries [51]","Reopening businesses",NA
2015,"British Columbia ","Information and cultural industries [51]","Entrants",NA
2015,"British Columbia ","Information and cultural industries [51]","Temporary closures",NA
2015,"British Columbia ","Information and cultural industries [51]","Exits",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Active businesses",4936
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Opening businesses",313
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Continuing businesses",4603
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Closing businesses",201
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Reopening businesses",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Entrants",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Temporary closures",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Exits",NA
2015,"British Columbia ","Real estate and rental and leasing [53]","Active businesses",7590
2015,"British Columbia ","Real estate and rental and leasing [53]","Opening businesses",440
2015,"British Columbia ","Real estate and rental and leasing [53]","Continuing businesses",7156
2015,"British Columbia ","Real estate and rental and leasing [53]","Closing businesses",333
2015,"British Columbia ","Real estate and rental and leasing [53]","Reopening businesses",NA
2015,"British Columbia ","Real estate and rental and leasing [53]","Entrants",NA
2015,"British Columbia ","Real estate and rental and leasing [53]","Temporary closures",NA
2015,"British Columbia ","Real estate and rental and leasing [53]","Exits",NA
2015,"British Columbia ","Professional, scientific and technical services [54]","Active businesses",17027
2015,"British Columbia ","Professional, scientific and technical services [54]","Opening businesses",945
2015,"British Columbia ","Professional, scientific and technical services [54]","Continuing businesses",15931
2015,"British Columbia ","Professional, scientific and technical services [54]","Closing businesses",651
2015,"British Columbia ","Professional, scientific and technical services [54]","Reopening businesses",NA
2015,"British Columbia ","Professional, scientific and technical services [54]","Entrants",NA
2015,"British Columbia ","Professional, scientific and technical services [54]","Temporary closures",NA
2015,"British Columbia ","Professional, scientific and technical services [54]","Exits",NA
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Active businesses",6695
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Opening businesses",368
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Continuing businesses",6333
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Closing businesses",298
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Reopening businesses",NA
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Entrants",NA
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Temporary closures",NA
2015,"British Columbia ","Administrative and support, waste management and remediation services [56]","Exits",NA
2015,"British Columbia ","Educational services [61]","Active businesses",1672
2015,"British Columbia ","Educational services [61]","Opening businesses",76
2015,"British Columbia ","Educational services [61]","Continuing businesses",1589
2015,"British Columbia ","Educational services [61]","Closing businesses",72
2015,"British Columbia ","Educational services [61]","Reopening businesses",NA
2015,"British Columbia ","Educational services [61]","Entrants",NA
2015,"British Columbia ","Educational services [61]","Temporary closures",NA
2015,"British Columbia ","Educational services [61]","Exits",NA
2015,"British Columbia ","Health care and social assistance [62]","Active businesses",14086
2015,"British Columbia ","Health care and social assistance [62]","Opening businesses",415
2015,"British Columbia ","Health care and social assistance [62]","Continuing businesses",13613
2015,"British Columbia ","Health care and social assistance [62]","Closing businesses",310
2015,"British Columbia ","Health care and social assistance [62]","Reopening businesses",NA
2015,"British Columbia ","Health care and social assistance [62]","Entrants",NA
2015,"British Columbia ","Health care and social assistance [62]","Temporary closures",NA
2015,"British Columbia ","Health care and social assistance [62]","Exits",NA
2015,"British Columbia ","Arts, entertainment and recreation [71]","Active businesses",2272
2015,"British Columbia ","Arts, entertainment and recreation [71]","Opening businesses",150
2015,"British Columbia ","Arts, entertainment and recreation [71]","Continuing businesses",2115
2015,"British Columbia ","Arts, entertainment and recreation [71]","Closing businesses",114
2015,"British Columbia ","Arts, entertainment and recreation [71]","Reopening businesses",NA
2015,"British Columbia ","Arts, entertainment and recreation [71]","Entrants",NA
2015,"British Columbia ","Arts, entertainment and recreation [71]","Temporary closures",NA
2015,"British Columbia ","Arts, entertainment and recreation [71]","Exits",NA
2015,"British Columbia ","Accommodation and food services [72]","Active businesses",9498
2015,"British Columbia ","Accommodation and food services [72]","Opening businesses",403
2015,"British Columbia ","Accommodation and food services [72]","Continuing businesses",9135
2015,"British Columbia ","Accommodation and food services [72]","Closing businesses",366
2015,"British Columbia ","Accommodation and food services [72]","Reopening businesses",NA
2015,"British Columbia ","Accommodation and food services [72]","Entrants",NA
2015,"British Columbia ","Accommodation and food services [72]","Temporary closures",NA
2015,"British Columbia ","Accommodation and food services [72]","Exits",NA
2015,"British Columbia ","Other services (except public administration) [81]","Active businesses",10131
2015,"British Columbia ","Other services (except public administration) [81]","Opening businesses",373
2015,"British Columbia ","Other services (except public administration) [81]","Continuing businesses",9803
2015,"British Columbia ","Other services (except public administration) [81]","Closing businesses",310
2015,"British Columbia ","Other services (except public administration) [81]","Reopening businesses",NA
2015,"British Columbia ","Other services (except public administration) [81]","Entrants",NA
2015,"British Columbia ","Other services (except public administration) [81]","Temporary closures",NA
2015,"British Columbia ","Other services (except public administration) [81]","Exits",NA
2015,"British Columbia ","Tourism industry","Active businesses",12682
2015,"British Columbia ","Tourism industry","Opening businesses",619
2015,"British Columbia ","Tourism industry","Continuing businesses",12054
2015,"British Columbia ","Tourism industry","Closing businesses",508
2015,"British Columbia ","Tourism industry","Reopening businesses",NA
2015,"British Columbia ","Tourism industry","Entrants",NA
2015,"British Columbia ","Tourism industry","Temporary closures",NA
2015,"British Columbia ","Tourism industry","Exits",NA
2015,"British Columbia ","Total tourism transportation","Active businesses",1123
2015,"British Columbia ","Total tourism transportation","Opening businesses",190
2015,"British Columbia ","Total tourism transportation","Continuing businesses",974
2015,"British Columbia ","Total tourism transportation","Closing businesses",69
2015,"British Columbia ","Total tourism transportation","Reopening businesses",NA
2015,"British Columbia ","Total tourism transportation","Entrants",NA
2015,"British Columbia ","Total tourism transportation","Temporary closures",NA
2015,"British Columbia ","Total tourism transportation","Exits",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Active businesses",176
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Opening businesses",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Continuing businesses",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Closing businesses",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Reopening businesses",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Entrants",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Temporary closures",NA
2015,"British Columbia ","Air transportation (tourism) [4811, 4812]","Exits",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Active businesses",97
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Opening businesses",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Continuing businesses",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Closing businesses",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Reopening businesses",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Entrants",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Temporary closures",NA
2015,"British Columbia ","Rail, scenic and sightseeing transportation (tourism) [482114, 487110, 487210, 487990]","Exits",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Active businesses",105
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Opening businesses",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Continuing businesses",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Closing businesses",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Reopening businesses",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Entrants",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Temporary closures",NA
2015,"British Columbia ","Water transportation (tourism) [483115, 483116, 483213, 483214]","Exits",NA
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Active businesses",753
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Opening businesses",179
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Continuing businesses",607
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Closing businesses",50
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Reopening businesses",NA
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Entrants",NA
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Temporary closures",NA
2015,"British Columbia ","Bus transportation, taxi and limousine services, and vehicle rental (tourism) [485110, 485210, 485410, 485510, 485990, 485310, 485320, 532111, 532120]","Exits",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Active businesses",619
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Opening businesses",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Continuing businesses",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Closing businesses",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Reopening businesses",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Entrants",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Temporary closures",NA
2015,"British Columbia ","Travel services (tourism) [561510, 561520, 561590]","Exits",NA
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Active businesses",1888
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Opening businesses",134
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Continuing businesses",1756
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Closing businesses",98
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Reopening businesses",NA
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Entrants",NA
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Temporary closures",NA
2015,"British Columbia ","Recreation and entertainment (tourism) [51213, 7111, 7112, 7113, 7115, 7121, 7131, 7132, 713910, 713920, 713930, 713950, 713990]","Exits",NA
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Active businesses",1450
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Opening businesses",54
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Continuing businesses",1401
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Closing businesses",40
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Reopening businesses",NA
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Entrants",NA
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Temporary closures",NA
2015,"British Columbia ","Accommodation (tourism) [721111, 721112, 721113, 721120, 721114, 721211, 721213, 721191, 721192, 721198, 721212]","Exits",NA
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Active businesses",7651
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Opening businesses",311
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Continuing businesses",7372
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Closing businesses",311
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Reopening businesses",NA
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Entrants",NA
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Temporary closures",NA
2015,"British Columbia ","Food and beverage services (tourism) [722511, 722512, 722410]","Exits",NA
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Active businesses",121972
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Opening businesses",6680
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Continuing businesses",114835
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Closing businesses",5505
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Reopening businesses",3863
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Entrants",2817
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Temporary closures",3385
2015,"British Columbia ","Business sector industries (except educational services and health care and social assistance)","Exits",2120
2015,"British Columbia ","Business sector industries [T004]","Active businesses",138570
2015,"British Columbia ","Business sector industries [T004]","Opening businesses",7128
2015,"British Columbia ","Business sector industries [T004]","Continuing businesses",131471
2015,"British Columbia ","Business sector industries [T004]","Closing businesses",6004
2015,"British Columbia ","Business sector industries [T004]","Reopening businesses",4262
2015,"British Columbia ","Business sector industries [T004]","Entrants",2866
2015,"British Columbia ","Business sector industries [T004]","Temporary closures",3773
2015,"British Columbia ","Business sector industries [T004]","Exits",2231
2015,"British Columbia ","Forestry, fishing and hunting [11]","Active businesses",1903
2015,"British Columbia ","Forestry, fishing and hunting [11]","Opening businesses",127
2015,"British Columbia ","Forestry, fishing and hunting [11]","Continuing businesses",1780
2015,"British Columbia ","Forestry, fishing and hunting [11]","Closing businesses",108
2015,"British Columbia ","Forestry, fishing and hunting [11]","Reopening businesses",NA
2015,"British Columbia ","Forestry, fishing and hunting [11]","Entrants",NA
2015,"British Columbia ","Forestry, fishing and hunting [11]","Temporary closures",NA
2015,"British Columbia ","Forestry, fishing and hunting [11]","Exits",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Active businesses",939
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Opening businesses",58
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Continuing businesses",884
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Closing businesses",59
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Reopening businesses",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Entrants",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Temporary closures",NA
2015,"British Columbia ","Mining, quarrying, and oil and gas extraction [21]","Exits",NA
2015,"British Columbia ","Utilities [22]","Active businesses",95
2015,"British Columbia ","Utilities [22]","Opening businesses",NA
2015,"British Columbia ","Utilities [22]","Continuing businesses",NA
2015,"British Columbia ","Utilities [22]","Closing businesses",NA
2015,"British Columbia ","Utilities [22]","Reopening businesses",NA
2015,"British Columbia ","Utilities [22]","Entrants",NA
2015,"British Columbia ","Utilities [22]","Temporary closures",NA
2015,"British Columbia ","Utilities [22]","Exits",NA
2015,"British Columbia ","Construction [23]","Active businesses",17457
2015,"British Columbia ","Construction [23]","Opening businesses",1103
2015,"British Columbia ","Construction [23]","Continuing businesses",16398
2015,"British Columbia ","Construction [23]","Closing businesses",931
2015,"British Columbia ","Construction [23]","Reopening businesses",NA
2015,"British Columbia ","Construction [23]","Entrants",NA
2015,"British Columbia ","Construction [23]","Temporary closures",NA
2015,"British Columbia ","Construction [23]","Exits",NA
2015,"British Columbia ","Manufacturing [31-33]","Active businesses",6173
2015,"British Columbia ","Manufacturing [31-33]","Opening businesses",238
2015,"British Columbia ","Manufacturing [31-33]","Continuing businesses",5932
2015,"British Columbia ","Manufacturing [31-33]","Closing businesses",202
2015,"British Columbia ","Manufacturing [31-33]","Reopening businesses",NA
2015,"British Columbia ","Manufacturing [31-33]","Entrants",NA
2015,"British Columbia ","Manufacturing [31-33]","Temporary closures",NA
2015,"British Columbia ","Manufacturing [31-33]","Exits",NA
2015,"British Columbia ","Food manufacturing [311]","Active businesses",747
2015,"British Columbia ","Food manufacturing [311]","Opening businesses",36
2015,"British Columbia ","Food manufacturing [311]","Continuing businesses",707
2015,"British Columbia ","Food manufacturing [311]","Closing businesses",22
2015,"British Columbia ","Food manufacturing [311]","Reopening businesses",NA
2015,"British Columbia ","Food manufacturing [311]","Entrants",NA
2015,"British Columbia ","Food manufacturing [311]","Temporary closures",NA
2015,"British Columbia ","Food manufacturing [311]","Exits",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Active businesses",238
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Opening businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Continuing businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Closing businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Reopening businesses",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Entrants",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Temporary closures",NA
2015,"British Columbia ","Beverage and tobacco product manufacturing [312]","Exits",NA
2015,"British Columbia ","Wholesale trade [41]","Active businesses",6889
2015,"British Columbia ","Wholesale trade [41]","Opening businesses",247
2015,"British Columbia ","Wholesale trade [41]","Continuing businesses",6638
2015,"British Columbia ","Wholesale trade [41]","Closing businesses",190
2015,"British Columbia ","Wholesale trade [41]","Reopening businesses",NA
2015,"British Columbia ","Wholesale trade [41]","Entrants",NA
2015,"British Columbia ","Wholesale trade [41]","Temporary closures",NA
2015,"British Columbia ","Wholesale trade [41]","Exits",NA
2015,"British Columbia ","Retail trade [44-45]","Active businesses",13129
2015,"British Columbia ","Retail trade [44-45]","Opening businesses",464
2015,"British Columbia ","Retail trade [44-45]","Continuing businesses",12656
2015,"British Columbia ","Retail trade [44-45]","Closing businesses",394
2015,"British Columbia ","Retail trade [44-45]","Reopening businesses",NA
2015,"British Columbia ","Retail trade [44-45]","Entrants",NA
2015,"British Columbia ","Retail trade [44-45]","Temporary closures",NA
2015,"British Columbia ","Retail trade [44-45]","Exits",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Active businesses",6158
2015,"British Columbia ","Transportation and warehousing [48-49]","Opening businesses",376
2015,"British Columbia ","Transportation and warehousing [48-49]","Continuing businesses",5801
2015,"British Columbia ","Transportation and warehousing [48-49]","Closing businesses",299
2015,"British Columbia ","Transportation and warehousing [48-49]","Reopening businesses",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Entrants",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Temporary closures",NA
2015,"British Columbia ","Transportation and warehousing [48-49]","Exits",NA
2015,"British Columbia ","Information and cultural industries [51]","Active businesses",1862
2015,"British Columbia ","Information and cultural industries [51]","Opening businesses",91
2015,"British Columbia ","Information and cultural industries [51]","Continuing businesses",1770
2015,"British Columbia ","Information and cultural industries [51]","Closing businesses",86
2015,"British Columbia ","Information and cultural industries [51]","Reopening businesses",NA
2015,"British Columbia ","Information and cultural industries [51]","Entrants",NA
2015,"British Columbia ","Information and cultural industries [51]","Temporary closures",NA
2015,"British Columbia ","Information and cultural industries [51]","Exits",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Active businesses",5007
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Opening businesses",312
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Continuing businesses",4701
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Closing businesses",234
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Reopening businesses",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Entrants",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Temporary closures",NA
2015,"British Columbia ","Finance and insurance and Management of companies and enterprises [52, 55]","Exits",NA
2015,"British Columbia ","Real estate and rental and leasing [53]","Active businesses",7645
