"GEO","Funder","Performer","Science type","Prices","GR5","GR3","Maxyear"
"Alberta"," federal government sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," federal government sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," federal government sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," federal government sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," federal government sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," federal government sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," federal government sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," federal government sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," federal government sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," federal government sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"Alberta"," foreign sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," foreign sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," foreign sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," foreign sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," foreign sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," foreign sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," foreign sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," foreign sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," foreign sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," foreign sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," foreign sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," foreign sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"Alberta"," higher education sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," higher education sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," higher education sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," higher education sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," higher education sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," higher education sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," higher education sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," higher education sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," higher education sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," higher education sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," higher education sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," higher education sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," private non-profit sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," private non-profit sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," federal government sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," federal government sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," federal government sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," federal government sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," provincial governments sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," provincial governments sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," provincial governments sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," provincial governments sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," provincial governments sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," provincial governments sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," provincial governments sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," provincial governments sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," federal government sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," federal government sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," federal government sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," federal government sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," federal government sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," federal government sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," higher education sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," provincial governments sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," provincial governments sector","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," provincial governments sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," provincial governments sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," provincial governments sector","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," provincial governments sector","Total sciences","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"Alberta"," total, all sectors"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"Alberta"," total, all sectors"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," federal government sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," federal government sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," federal government sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," federal government sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," business enterprise sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," business enterprise sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," federal government sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," federal government sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," federal government sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," federal government sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," federal government sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," federal government sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," federal government sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," federal government sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," private non-profit sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," private non-profit sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," private non-profit sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," private non-profit sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," private non-profit sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," private non-profit sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," foreign sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," foreign sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"British Columbia"," higher education sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," higher education sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," higher education sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," higher education sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," higher education sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," higher education sector"," higher education sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," higher education sector"," total, all sectors","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," higher education sector"," total, all sectors","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," higher education sector"," total, all sectors","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," higher education sector"," total, all sectors","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," higher education sector"," total, all sectors","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," higher education sector"," total, all sectors","Total sciences","Current prices",NA,NA,2023
"British Columbia"," private non-profit sector"," business enterprise sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," private non-profit sector"," business enterprise sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," private non-profit sector"," business enterprise sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," private non-profit sector"," business enterprise sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," private non-profit sector"," business enterprise sector","Total sciences","2017 constant prices",NA,NA,2023
"British Columbia"," private non-profit sector"," business enterprise sector","Total sciences","Current prices",NA,NA,2023
"British Columbia"," private non-profit sector"," higher education sector","Natural sciences and engineering","2017 constant prices",NA,NA,2023
"British Columbia"," private non-profit sector"," higher education sector","Natural sciences and engineering","Current prices",NA,NA,2023
"British Columbia"," private non-profit sector"," higher education sector","Social sciences, humanities and the arts","2017 constant prices",NA,NA,2023
"British Columbia"," private non-profit sector"," higher education sector","Social sciences, humanities and the arts","Current prices",NA,NA,2023
"British Columbia"," private non-profit sector"," higher education sector","Total sciences","2017 constant prices",NA,NA,2023
